,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
294,Y-BALL CHECK,Y BALL CHK,Y-BALL CHK,Y BALL CHECK VLV,Y-BALL CHECK VLV,Y-BALL CHK VLV,YBC,Y.B.C.,Y BALL CV,Y-B-C,Y/B/C,,,,,,,,,,,,
295,WELD NECK RTJ FLANGE,WN RTJ FLANGE,WELD NECK RTJ FLG,WN RTJ FLG,RTJ WELD NECK FLANGE,RTJ WELD NECK FLG,RTJ WN FLANGE,RTJ WN FLG,WNRTJ FLANGE,WNRTJ FLG,WN-RTJ FLANGE,,,,,,,,,,,,
296,FLEXITALLIC,FLEXITALIC,FLEXI,FLX,FLEX-GSK,FLEXITALLIC GSK,FLEX GASKET,FLEXITALLIC SEAL,FLEX SEAL,FLX GSK,FLEX-SEAL,,,,,,,,,,,,
297,FLURPLY,FLURPLY,FLP,FLPLY,FLPL,FL PLY,FL-PLY,F.P.,F/P,FL.PLY,FL/PLY,,,,,,,,,,,,
298,WELD NECK RF,WN RF,WELD NECK RAISED FACE,WN RAISED FACE,RF WELD NECK,RF WN,RAISED FACE WELD NECK,RAISED FACE WN,W/N RF,WELD-NECK RF,W.N. RF,,,,,,,,,,,,
299,OVAL RING,OVAL RNG,OV RING,OV RNG,OVAL R,OVL RING,OVL RNG,O RING,O RNG,O-RING,O/RING,,,,,,,,,,,,
300,Y GLOBE,Y GLB,Y-GLOBE,Y PATTERN GLOBE,Y-PATTERN GLOBE,Y TYPE GLOBE,Y-TYPE GLOBE,Y GLOBE VALVE,Y-GLOBE VALVE,YGLOBE,Y GLV,,,,,,,,,,,,
301,HAMMER UNION,HAMR UNION,HAMMER UN,HAMR UN,HMR UNION,HMR UN,HAMMER U,HAM UNION,HAM UN,H UNION,HU,,,,,,,,,,,,
302,THREADED TEE,THD TEE,THRD TEE,THREAD TEE,T-TEE,SCREWED TEE,SCR TEE,NPT TEE,THRD T,THD T,SCR T,,,,,,,,,,,,
303,BELL COUPLING,BELL CPLG,BL CPLG,BELL CPL,BL CPL,BELL-CPLG,B/CPLG,BELL COUPL,BL COUPL,B.CPLG,BELL-CPL,,,,,,,,,,,,
304,FLANGE RING,FLG RING,FL RING,FLNG RNG,FLG RNG,FL RNG,FLANGE RNG,F/RING,F RING,F.RING,F/RNG,,,,,,,,,,,,
305,RING FLANGE,RNG FLG,RING FLG,RNG FLANGE,R/FLG,R.FLG,R-FLG,RING-FLG,RING-FLANGE,R FLANGE,R/FLANGE,,,,,,,,,,,,
306,STUB FLANGE,STUB FLG,STB FLANGE,STB FLG,STUBBED FLANGE,STUBBED FLG,STUB-FLG,STB-FLG,STUB-FLANGE,STB-FLANGE,STUB,,,,,,,,,,,,
307,TAPER NIPPLE,TAPERED NIPPLE,TAP NIPPLE,TPR NIPPLE,REDUCING NIPPLE,RED NIPPLE,REDUCER NIPPLE,TP NIPPLE,TAP NIP,TPR NIP,RED NIP,,,,,,,,,,,,
308,ELBOWOLET,ELBOW-O-LET,ELBOWLET,ELBOW-LET,ELBOW O LET,ELB-O-LET,ELBL,ELBOW OLET,ELBOW-OLET,ELBOLET,ELB OLET,,,,,,,,,,,,
309,ELBOWELDOLET,ELBOW WELDOLET,ELB WELDOLET,ELBO WELDOLET,ELBOWLET,EBWLT,EBW,ELBOW W/O,ELBOW W.O.,ELB W/O,ELB W.O.,,,,,,,,,,,,
310,INSERT,INSRT,INSER,INS,INST,PIPE INSERT,FITTING INSERT,INRT,INSERTS,INSERTION,INSET,,,,,,,,,,,,
311,REDUCER INSERT,RED INSERT,REDUCER INSRT,RED INSRT,REDCR INSRT,RDR INSERT,REDC INSERT,REDUC INSRT,RDR INSRT,RED INS,REDUCER INS,,,,,,,,,,,,
312,SOCKET TEE,SCKT TEE,SKT TEE,SOCK TEE,S/W TEE,SW TEE,SOCKET T,SCKT T,SKT T,S.W. TEE,SOCKETWELD TEE,,,,,,,,,,,,
313,NEEDLE,NDLV,NDL VLV,NEEDLE VLV,NEEDLE VALVE,NDL VALVE,N VLV,N-VLV,NDLE,NDL V,N.V.,,,,,,,,,,,,
314,MANIFOLD,MANF,MNFLD,MAN,MFLD,MANIF,MNFD,MANIFD,MF,MNFL,M'FLD,,,,,,,,,,,,
315,FULL COUPLING,FULL CPLG,FLL CPLG,FULL COUP,FLL COUP,FULL CPL,FLL CPL,CPLG FULL,COUP FULL,CPL FULL,F/CPLG,,,,,,,,,,,,
316,REDUCED PORT BALL VALVE,RPBV,RED PORT BV,REDUCED PORT BV,RED PORT BALL VLV,RED PORT BALL VALVE,RP BALL VLV,RP BALL VALVE,REDUCED PORT B/V,RED PORT B/V,RP B/V,,,,,,,,,,,,
317,FILTER REGULATOR,FLTR REG,FIL REG,F/R,FR,FILTER/REG,FLTR/REG,FIL/REG,F-R,FILTER-REG,FLTR-REG,,,,,,,,,,,,
318,BASKET STRAINER,BST,BSKT STRNR,B/S,BASKET STRNR,BSKT STRAINER,B STRAINER,B.S.,BSKT STR,BASKET STR,B STRNR,,,,,,,,,,,,
319,COMPANION FLANGE,COMP FLG,COMP FLANGE,CP FLG,CP FLANGE,CMP FLG,CMP FLANGE,COMPANION FLG,C FLG,COMP F,CP F,,,,,,,,,,,,
320,GATE OS&Y,GATE OSY,OS&Y GATE,OSY GATE,OUTSIDE SCREW AND YOKE GATE,OS AND Y GATE,GATE OUTSIDE SCREW AND YOKE,OS+Y GATE,GT OSY,GT OS&Y,GATE OS+Y,,,,,,,,,,,,
321,GATE VALVE OS&Y,GATE VLV OS&Y,GTV OS&Y,GT VLV OS&Y,OS&Y GATE VALVE,OS&Y GATE VLV,OS&Y GTV,OSAY GATE VALVE,GATE VALVE OSAY,GATE VLV OSAY,OS+Y GATE VALVE,,,,,,,,,,,,
322,OS&Y GATE,OUTSIDE SCREW AND YOKE GATE,OS AND Y GATE,OSY GATE,OS+Y GATE,OS-Y GATE,OUTSIDE STEM AND YOKE GATE,O.S.&Y. GATE,O S Y GATE,O S AND Y GATE,OSY GT,,,,,,,,,,,,
323,OS&Y GATE VALVE,OSYV,OS&Y GV,OSY GATE VLV,OUTSIDE SCREW AND YOKE GATE VALVE,OS+Y GATE VALVE,OUTSIDE STEM AND YOKE GATE VALVE,OSY GTV,OS&Y GT VLV,OS AND Y GATE VALVE,OS-Y GATE VALVE,,,,,,,,,,,,
324,SILENT CHECK,SILENT CHK,SLNT CHK,SIL CHK,SILENT CHECK VALVE,SLNT CHECK VLV,SIL CHECK VLV,SILENT CHK VLV,NOISELESS CHECK,CENTER GUIDED CHECK,SPRING LOADED CHECK,,,,,,,,,,,,
325,STEAM TRAP INVERTED BUCKET,IB STEAM TRAP,INVERTED BUCKET ST,IB ST,INVT BUCKET TRAP,INV BUCKET ST,STEAM TRAP IB,ST IB,IBT,IB TRAP,INVTD BCKT ST,,,,,,,,,,,,
326,THREADED COMPANION FLANGE,THD COMPANION FLG,THRD COMPANION FLANGE,THD COMP FLG,THRD COMP FLANGE,SCREWED COMPANION FLG,SCR COMPANION FLANGE,THREADED COMP FLG,THD COMPANION,SCREWED COMP FLG,SCR COMP FLANGE,,,,,,,,,,,,
327,TWIN WAFER CHECK,TWN WFR CHK,TWIN WFR CHK,TWIN WAFER CHK,TWN WAFER CHK,TWIN WF CHK,TWN WF CHK,TWIN WAFER CHECK VLV,TWN WFR CHECK VLV,TWIN WAFER CV,TWN WFR CV,,,,,,,,,,,,
328,PISTON,PSTN,PST,PISTN,P/STN,P-STN,P.STN,PIST,PISTNS,P STONS,P/STONS,,,,,,,,,,,,
329,WRI GRAPHITE,WIRE REINFORCED GRAPHITE,WRI GRPH,WIRE REINF GRAPHITE,W.R.I. GRAPHITE,WIRE REIN GRAPHITE,WR GRAPHITE,W/R GRAPHITE,WIRE-REINFORCED GRAPHITE,WRI-GRAPHITE,W.R. GRAPHITE,,,,,,,,,,,,
330,ADAPTER FLANGE,ADPT FLG,ADAPT FLG,ADAPTER FLG,ADP FLG,ADPTR FLANGE,ADAPT FLANGE,ADP FLANGE,ADPT FLANGE,FLG ADAPTER,FLANGE ADAPTER,,,,,,,,,,,,
331,THREADED COMPRESSION FLANGE,THD COMP FLG,THRD COMP FLANGE,THD COMPRESSION FLG,THRD COMPRESSION FLANGE,COMPRESSION THD FLG,COMP THD FLANGE,COMPRESSION THRD FLG,TC FLANGE,TC FLG,THREADED COMP FLG,,,,,,,,,,,,
332,CHECK VALVE DUO,DUO CHECK VALVE,DCV,DUO CHK VLV,DUO VLV,DUAL CHECK VALVE,DUAL CHK VLV,DUAL VLV,D.C.V.,DUO-CHECK,DUAL-CHECK,,,,,,,,,,,,
333,FLANGE,FLG,FLN,FL,FLNG,FG,FLANGE,FLG.,F.L.G.,F.L.,F/L,,,,,,,,,,,,
334,FLAT FACE FLANGE,FF FLANGE,FF FLG,FLAT FACE FLG,FF,F.F. FLANGE,F.F. FLG,FLAT FACED FLANGE,FLAT FACED FLG,F/F FLANGE,F/F FLG,,,,,,,,,,,,
335,FLAT FACE SOCKETWELD FLANGE,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FF SOCKETWELD FLANGE,FF SOCKETWELD FLG,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLANGE,FF SOCKET WELD FLANGE,FLAT FACE S/W FLANGE,FF S/W FLANGE,,,,,,,,,,,,
336,FLAT FACE SOCKETWELD FLANGE,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FF SOCKETWELD FLANGE,FF SOCKETWELD FLG,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLANGE,FF SOCKET WELD FLANGE,FLAT FACE S/W FLANGE,FF S/W FLANGE,,,,,,,,,,,,
337,GLOBE OS&Y,GLB OS&Y,GLOBE OUTSIDE SCREW AND YOKE,OS&Y GLOBE,OS&Y GLB,GLOBE OSY,GLB OSY,OSY GLOBE,O.S.&Y. GLOBE,GLOBE O.S.&Y.,OUTSIDE SCREW AND YOKE GLOBE,,,,,,,,,,,,
338,INSERT TEE,INS TEE,INSRT TEE,INSERT T,INS T,INSRT T,INSTR TEE,INSERT-TEE,INS-TEE,INST TEE,INST T,,,,,,,,,,,,
339,INSULATED TEE,INS TEE,INSUL TEE,INSULATED T,INS T,INSUL T,INSULATED T-PIECE,INSUL T-PIECE,INS T-PIECE,THERMAL INSULATED TEE,THERMALLY INSULATED TEE,,,,,,,,,,,,
340,LAP JOINT SOCKET WELD FLANGE,LAP JT SW FLANGE,LAP JOINT SW FLG,LAP JT SW FLG,LAP JOINT SOCKET FLG,LAP JT SOCKET FLG,LJ SW FLANGE,LJ SW FLG,LJSW FLANGE,LJSW FLG,LJ SOCKET WELD FLG,,,,,,,,,,,,
341,LAP JOINT SOCKETWELD FLANGE,LAP JOINT SW FLANGE,LAP JOINT SW FLG,LJ SOCKETWELD FLANGE,LJ SW FLANGE,LJ SW FLG,LAP JNT SW FLANGE,LAP JNT SW FLG,L/J SW FLANGE,L/J SW FLG,LJSW FLG,,,,,,,,,,,,
342,LJ FLANGE,LAP JOINT FLANGE,LAP JOINT FLG,LJ FLG,LAP JNT FLANGE,LAP JNT FLG,L/J FLANGE,L/J FLG,L.J. FLANGE,L.J. FLG,LAPJNT FLG,,,,,,,,,,,,
343,REDUCER INSERT TEE,RED INSERT TEE,REDUCER INS TEE,RED INS TEE,REDUCER INSERT T,RED INSERT T,REDUCER INS T,RED INS T,RIT,R.I.T.,R I T,,,,,,,,,,,,
344,SOCKET WELD RAISED FACE FLANGE,SW RF FLANGE,SW RF FLG,SOCKET WELD RF FLANGE,SOCKET WELD RF FLG,SW RAISED FACE FLANGE,SW RAISED FACE FLG,SOCKET RF FLANGE,SOCKET RF FLG,SW RFF,SWRF FLG,,,,,,,,,,,,
345,SOCKETWELD RAISED FACE FLANGE,SW RF FLANGE,SW RF FLG,SOCKET WELD RF FLANGE,SOCKET WELD RF FLG,SW RAISED FACE FLANGE,SW RAISED FACE FLG,SOCKETWELD RF FLANGE,SOCKETWELD RF FLG,SOCKET RF FLANGE,SOCKET RF FLG,,,,,,,,,,,,
346,TEE INSERT,TEE INRT,T-INSERT,TINRT,TEE INSRT,T INSRT,TEE-INSERT,T-INSRT,T INSERT,TINSRT,TINSERT,,,,,,,,,,,,
347,THREADED,THD,THRD,THR'D,TH'D,T'D,THREAD,THRDED,THDD,NPT,FNPT,,,,,,,,,,,,
348,AIR RELEASE,AR,AIR REL,A/R,A.R.,AIR RELEASE VLV,AIR RELEASE VALVE,A.R.V.,ARV,AIR REL VLV,AIR REL VALVE,,,,,,,,,,,,
349,SLIP-ON FLANGE,SLIP ON FLANGE,SO FLANGE,SO FLG,SLIP ON FLG,SLIP-ON FLG,S.O. FLANGE,S.O. FLG,SO-FLG,S/O FLANGE,S/O FLG,,,,,,,,,,,,
350,INSTRUMENTATION TEE,INST TEE,INSTR TEE,INSTRUMENT TEE,INST T,INSTR T,INSTRUMENTATION T,I-TEE,I TEE,INST-TEE,INSTR-TEE,,,,,,,,,,,,
351,INSULATING KIT,INSUL KIT,INS KIT,ISOLATION KIT,ISOL KIT,INSULATING SET,FLANGE ISOLATION KIT,FLG ISOL KIT,DIELECTRIC KIT,INSUL SET,ISO KIT,,,,,,,,,,,,
352,INSULATION KIT,INSUL KIT,INS KIT,ISOL KIT,ISOLATION KIT,INSL KIT,INSULATION SET,INSUL SET,ISOLATING KIT,FLANGE INSULATION KIT,FLG INSUL KIT,,,,,,,,,,,,
353,FLR FLANGE,FLARE FLANGE,FLR FLG,FLARE FLG,FLR FL,FLARE FL,FL FLG,FLARED FLANGE,FLARED FLG,FLD FLANGE,FLD FLG,,,,,,,,,,,,
354,GROOVED JOINT,GRV JNT,GROOVE JNT,GRV JOINT,GRVD JNT,GROOVE JOINT,GROOVED JT,GRV JT,GRVD JOINT,G.J.,GJ,,,,,,,,,,,,
355,GROUND-JOINT UNION,GJ UNION,GROUND JOINT UNION,GRD JNT UNION,GND JNT UNION,G.J. UNION,GROUND-JT UNION,GRD-JNT UNION,GROUND JOINT UNN,G-J UNION,GJ UNN,,,,,,,,,,,,
356,PIPE UNION,UNION,PIPE UN,UN,SCREWED UNION,THREADED UNION,SCR UNION,THD UNION,PIPE UN FTG,PIPE UN FITTING,UNI,,,,,,,,,,,,
357,STREET TEE,ST TEE,STR TEE,STREET T,STR T,ST T,S-TEE,S TEE,STREETTEE,ST. TEE,STR. TEE,,,,,,,,,,,,
358,FLAT FACE,FF,F/F,F.F.,F-F,FLAT FACED,F FACE,FLAT FCE,F FCE,FLT FACE,FLAT F,,,,,,,,,,,,
359,DIELECTRIC FLANGE,DIEL FLANGE,DIEL FLG,DI-EL FLANGE,DI-EL FLG,DIELECTRIC FLG,DE FLANGE,DE FLG,DIELEC FLANGE,DIELEC FLG,D/E FLANGE,,,,,,,,,,,,
360,NUT/BOLT SET,NUT AND BOLT SET,BOLT AND NUT SET,N/B SET,B/N SET,STUD BOLT W/NUTS,BOLT/NUT ASSY,STUD BOLT/NUT ASSY,NUTS AND BOLTS,BOLT & NUT SET,NUT & BOLT SET,,,,,,,,,,,,
361,SLEEVED PLUG VALVE,SLV PLG VLV,SLVD PLG VLV,SL PLG VLV,SLEEVE PLG VLV,SLEEVED PV,SLV PV,SLVD PV,SPV,SL PV,SLVD PLUG,,,,,,,,,,,,
362,EXPANSION,EXP,EXPN,EXPAN,EXPNSN,EXP JNT,EXPANSION JOINT,EXP JOINT,EXPN JT,EXP-JT,EXPN-JNT,,,,,,,,,,,,
363,FLANGE SPACER,FLG SPACER,FLNG SPACER,FL SPACER,FLANGE SPCR,FLG SPCR,FLNG SPCR,FL SPCR,F/SPACER,F/SPCR,SPACER FLG,,,,,,,,,,,,
364,FLAT FACE SPACER,FF SPACER,FLAT FACE SPCR,FF SPCR,F.F. SPACER,FLAT-FACE SPACER,F/F SPACER,FLAT FACED SPACER,F-F SPACER,FLAT FACE SPACR,F.F.SPCR,,,,,,,,,,,,
365,FLAT RING SPACER,FLT RNG SPACER,FLAT RNG SPACER,FLT RING SPCR,FLAT RING SPCR,F/R SPACER,F R SPACER,FR SPACER,F.R. SPACER,FLAT SPACER RING,FLT SPCR RING,,,,,,,,,,,,
366,ISO KIT,ISOLATION KIT,INSULATING KIT,ISOL KIT,INSUL KIT,ISOLATING KIT,ISO SET,ISOLATION SET,INSULATING SET,DIELECTRIC KIT,DIELECTRIC SET,,,,,,,,,,,,
367,SPACER,SPCR,SPC,SPAC,SP,SPR,SPACNG,SPACING,SPACE,SPACR,S P R,,,,,,,,,,,,
368,RED RUBBER,RR,RED RUB,R/R,RED-RUB,R-R,RED RUBBER GSK,RED RUBBER GASKET,RR GSK,RR GASKET,R.R.,,,,,,,,,,,,
369,BOLT KIT,BK,B/K,B.K.,BOLT SET,BOLT PACK,BOLT ASSEMBLY,FASTENER KIT,BOLT & NUT KIT,B&N KIT,STUD BOLT KIT,,,,,,,,,,,,
370,BUTTERFLY HIGH PERFORMANCE,HP BUTTERFLY VALVE,HIGH PERFORMANCE BUTTERFLY,HP BFV,HPBFV,HP BFLY,HIGH PERF BFV,HIGH PERF BUTTERFLY,HI PERF BUTTERFLY,HP BUTTERFLY,HIGH PERFORMANCE BFV,,,,,,,,,,,,
371,BUTTERFLY VALVE HIGH PERFORMANCE,HPBFV,HP BFV,HIGH PERF BFV,HP BUTTERFLY VLV,HIGH PERFORMANCE BFV,HI PERF BUTTERFLY,HIGH PERF BUTTERFLY,HP BUTTERFLY VALVE,BUTTERFLY HP,BFV HP,,,,,,,,,,,,
372,COUNTERSUNK PLUG,CS PLUG,CTRSNK PLUG,C/S PLUG,CTR SNK PLUG,COUNTER SUNK PLUG,CSK PLUG,CNTRSNK PLUG,C.S. PLUG,CSNK PLUG,CSUNK PLUG,,,,,,,,,,,,
373,CUT GROOVE,CUT GRV,CT GRV,CUT GROOV,C GROOVE,C GRV,CUT-GROOVE,C-GROOVE,CT-GRV,C/GRV,C.GRV,,,,,,,,,,,,
374,FLANGE BOLT SET,FLG BLT SET,FLG BOLT SET,FLANGE BLT SET,B7 STUD SET,STUD BOLT SET,BOLT & NUT SET,STUD & NUT SET,FASTENER SET,FLANGE FASTENER SET,STUD BOLT & NUT SET,,,,,,,,,,,,
375,FLANGE STUD AND NUT SET,STUD BOLT AND NUT SET,STD BOLT AND NUT SET,FLANGE STUD BOLT SET,STUD AND NUT SET,FLANGE STUD SET,STD & NUT SET,STUD & NUT SET,FLG STD & NUT SET,FLG STUD AND NUT,STUD BOLT SET,,,,,,,,,,,,
376,FLAT FACE SIDE OUTLET FLANGE,FF SIDE OUTLET FLANGE,FF SIDE OUTLET FLG,FLAT FACE SIDE OUTLET FLG,FF SO FLANGE,FF SO FLG,FLAT FACE SO FLANGE,FLAT FACE SO FLG,SIDE OUTLET FF FLANGE,SIDE OUTLET FF FLG,SO FF FLANGE,,,,,,,,,,,,
377,FLAT FACE SLIP-ON FLANGE,FF SLIP-ON FLANGE,FF SO FLANGE,FF SO FLG,FLAT FACE SO FLANGE,FLAT FACE SO FLG,FF SLIP ON,FLAT FACE SLIP ON,FF S/O FLANGE,FLAT FACE S/O FLANGE,FF SLIPON FLG,,,,,,,,,,,,
378,GRAPHITE,GRPH,GR,GRFT,GRAPH,GFT,GRAF,GRPHTE,GRAPHT,GRAFIT,GRAFITE,,,,,,,,,,,,
379,GRAPHITE WRI,GRAPHITE WOUND RING INSERT,GRPH WRI,GR WRI,GRPH WOUND RING INSERT,GRAPH WRI,GRAPHITE RING INSERT,GR WOUND RING INSERT,GRPH RING INSERT,GRAPH RING INSERT,GRAPHITE WOUND INSERT,,,,,,,,,,,,
380,ISOLATION,ISO,ISOLATOR,ISOL,ISOL VLV,ISO VLV,ISOLATION VALVE,ISO VALVE,ISOL VALVE,ISOLATING,ISOLATE,,,,,,,,,,,,
381,KAMMPRO,KAM PRO,KAMP PRO,KAMM PRO,KAM-PRO,KAMP-PRO,KAMM-PRO,K PRO,K-PRO,KPRO,K.PRO,,,,,,,,,,,,
382,KNIFE VALVE,KNF VLV,KNFE VLV,KV,K VLV,KNIFE V,KNF V,K.V.,KNFE V,K-VLV,KNIFE,,,,,,,,,,,,
383,RAISED FACE SWEAT FLANGE,RAISED FACE SWEAT FLG,RF SWEAT FLANGE,RF SWEAT FLG,RF SW FLANGE,RF SW FLG,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RF SWT FLANGE,RF SWT FLG,RAISED FACE SWT FLG,,,,,,,,,,,,
384,SOCKET WELD FLAT FACE FLANGE,SW FF FLANGE,SW FF FLG,SOCKET WELD FF FLANGE,SOCKET WELD FF FLG,FLAT FACE SW FLANGE,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLG,SW FLAT FACE FLG,SOCKET FLAT FACE FLANGE,,,,,,,,,,,,
385,SPUD WELD,SPUDWELD,SPUD-WELD,SPUD WLD,SPUDWLD,SPUD-WLD,SP WELD,SP-WELD,SP WLD,SPUD,SPD WLD,,,,,,,,,,,,
386,BLEED RING,BLD RNG,BLEEDER RING,BLD RING,BR,BLDR RNG,BLDR RING,B/R,B.R.,BLEEDRING,BLD-RNG,,,,,,,,,,,,
387,PIG SIGNALLER,PIG DETECTOR,PIG SIG,PIPELINE PIG SIGNALLER,PIG PASSAGE INDICATOR,PIG PASSAGE SIGNALLER,PIGGING SIGNALLER,PIG DETECTION SYSTEM,PIG PASSING INDICATOR,PIG INDICATOR,PIG SENSOR,,,,,,,,,,,,
388,HDPE PIPE,HIGH DENSITY POLYETHYLENE PIPE,HDPE,PE PIPE,PE4710 PIPE,POLYETHYLENE PIPE,HIGH DENSITY PE PIPE,HD POLYETHYLENE PIPE,HDPE LINE PIPE,PE100 PIPE,HDPE PIPING,,,,,,,,,,,,
389,GLOBE VALVE WYE PATTERN,WYE PATTERN GLOBE VALVE,WYE GLOBE VALVE,Y PATTERN GLOBE VALVE,Y-PATTERN GLOBE VLV,WYE GLB VLV,Y PATTERN GLV,Y-PTN GLOBE VLV,WYE PTN GLV,Y GLV,WYE GLV,,,,,,,,,,,,
390,WYE PATTERN GLOBE,WYE PATTERN GLOBE VALVE,Y PATTERN GLOBE VALVE,WYE GLOBE VALVE,Y GLOBE VALVE,WYE-PATTERN GLOBE,Y-PATTERN GLOBE,WYE PTN GLOBE,Y PTN GLOBE,WYE GLOBE,Y GLOBE,,,,,,,,,,,,
391,Y-GLOBE,Y GLOBE VALVE,Y-PATTERN GLOBE,Y PATTERN GLOBE,Y-GLB,Y GLB,Y-GLOBE VLV,Y GLOBE VLV,Y-TYPE GLOBE,Y TYPE GLOBE,Y PATTERN GLB,,,,,,,,,,,,
392,OS&Y,OUTSIDE SCREW AND YOKE,OS AND Y,OS + Y,OS+Y,O.S.&Y.,O.S.Y.,OSY,OS-Y,OUTSDE SCRW & YOKE,O S & Y,,,,,,,,,,,,
393,AIR VENT,A/V,AV,AIR VNT,A VENT,A-V,A.V.,AIRVENT,AIR-VENT,AIR.VENT,A/VENT,,,,,,,,,,,,
394,GATE NON-RISING STEM,GATE NRS,GTE NRS,NRS GATE,NRS GTE,NON RISING STEM GATE,NON-RISING STEM GATE,GATE VALVE NRS,NRS GATE VALVE,GV NRS,NRS GV,,,,,,,,,,,,
395,INVERTED BUCKET STEAM TRAP,IB STEAM TRAP,INV BUCKET ST,IB ST TRAP,INVTD BUCKET ST,IB TRAP,INV BUCKET TRAP,INVERTED BUCKET ST,IBT,I.B.S.T.,IBST,,,,,,,,,,,,
396,IPS,IRON PIPE SIZE,I.P.S.,I P S,IRON PIPE STANDARD,I.P. SIZE,IRON PS,I PIPE SIZE,IRON P SIZE,IPSIZE,I.PIPE.SIZE,,,,,,,,,,,,
397,INVERTED BUCKET TRAP,IBT,INV BCKT TRP,INV BKT TRAP,I.B.T.,INVTD BCKT TRAP,INV-BCKT-TRP,INVERTED BKT TRAP,INV BUCKET TRAP,INVTD BUCKET TRAP,IB TRAP,,,,,,,,,,,,
398,FLOW CONTROL,FLW CNTRL,FLOW CTRL,FL CTRL,FC,F/C,F.C.,FLOW CNTL,FL CNTRL,FLW CTL,FLOW CTL,,,,,,,,,,,,
399,PILOT,PLT,PILOT VLV,PILOT VALVE,PLT VLV,PLT VALVE,PILOT OPERATED,PILOT ACTUATED,PLT OPERATED,PLT ACTUATED,PILOT OP,,,,,,,,,,,,
400,PRESSURE REGULATOR,PRESS REG,PR REG,PRESS REGTR,P REG,PRES RGTR,PR RGTR,PRES REG,P RGTR,PRESSURE RGTR,PRESS RGTR,,,,,,,,,,,,
401,3WAY BALL,3 WAY BALL VALVE,THREE WAY BALL VALVE,3-WAY BALL VALVE,THREE-WAY BALL VALVE,3W BALL VALVE,3WAY BV,3 WAY BV,THREE WAY BV,3-WAY BV,3W BV,,,,,,,,,,,,
402,FLOAT BALL,FLOATBALL,FLT BALL,FLT BL,FB,F/B,F.B.,FLOAT BL,FLTBALL,F BALL,FLT B,,,,,,,,,,,,
403,DIAPHRAGM GLOBE,DGLOBE,DIA GLOBE,DIAP GLOBE,DIA GLB,DIAPH GLOBE,D-GLOBE,DIAPHRAGM GLB,DIA-GLOBE,D GLOBE,DGLB,,,,,,,,,,,,
404,WELD NECK RTJ,WN RTJ,RTJ WELD NECK,RTJ WN,WELDNECK RTJ,WN-RTJ,RING TYPE JOINT WELD NECK,RING TYPE JOINT WN,RTJ WELDNECK,RING JOINT WELD NECK,RING JOINT WN,,,,,,,,,,,,
405,FULL FACE CARBON,FF CARBON,FULL FACE CRB,FF CRB,F/F CARBON,F.F. CARBON,FULL FACE C,F-F CARBON,FULL-FACE CARBON,F/F CRB,F.F. CRB,,,,,,,,,,,,
406,SCREEN,SCRN,SCR,STRAINER SCREEN,STRN SCRN,FILTER SCREEN,FLTR SCRN,MESH SCREEN,MSH SCRN,SCREENING,SCN,,,,,,,,,,,,
407,SLIP ON RAISED FACE,SLIP ON RF,SO RF,SORF,SO RAISED FACE,SLIP ON R.F.,S.O.R.F.,SO R.F.,S/O RF,S.O. RAISED FACE,SLIP-ON RF,,,,,,,,,,,,
408,CHECK GLOBE INLINE,CK GLB INLINE,CHECK GLB INLINE,CK GLOBE INLINE,INLINE CHECK GLOBE,INLINE CK GLB,INLINE CHECK GLB,INLINE CK GLOBE,CKGLB INLINE,INLINECKGLB,INLINE-CK-GLB,,,,,,,,,,,,
409,245 FOR CARB,245 FORGED CARBON STEEL,245 FORGED CS,245 FOR CS,245 FORGED CARB STL,245 FORGED,245 FOR CARBON STEEL,245 FORGED C/S,245 FOR C/S,245 F/CARB,245 F/CS,,,,,,,,,,,,
410,RAISED FACE WELD NECK ORIFICE,RF WELD NECK ORIFICE,RAISED FACE WN ORIFICE,RF WN ORIFICE,RFWN ORIFICE,RF WELD NECK OR,RAISED FACE WN OR,RF WN OR,RFWN OR,RAISED FACE WELDNECK ORIFICE,RF WELDNECK ORIFICE,,,,,,,,,,,,
411,RAISED FACE WELD NECK ORIFICE FLANGE,RF WELD NECK ORIFICE FLANGE,RAISED FACE WN ORIFICE FLG,RF WN ORIFICE FLANGE,RAISED FACE WELD NECK ORIF FLG,RF WELD NECK ORIF FLG,RAISED FACE WN ORIF FLANGE,RF WN ORIF FLG,RFWN ORIFICE FLANGE,RFWN ORIF FLG,RF WNOF,,,,,,,,,,,,
412,LUG UNION,LG UN,LUG UN,L UNION,LG UNION,L UN,LUG U,L U,LG U,UNION LUG,UN LUG,,,,,,,,,,,,
413,LATERAL WYE,LAT WYE,LAT Y,LATERAL Y,LTL WYE,LTL Y,LAT-WYE,LAT-Y,LTRL WYE,LTRL Y,L-WYE,,,,,,,,,,,,
