,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
279,REDUCING COUPLING ADAPTER,RED CPLG ADPTR,REDUCING CPLG ADPT,RED CPL ADAPTER,REDCR CPLG ADPTR,RED COUP ADPTR,REDUCING COUPLING ADPT,RDCR CPLG ADPTR,RED COUPLING ADAPTER,REDUCER CPLG ADPTR,REDUCING COUPL ADPTR
280,HEX NUT,HEXNUT,HEX N,HX NUT,HEXAGONAL NUT,HX N,HEX-NUT,HEX,H NUT,H-NUT,HEXN
281,SPLIT RING HANGER,SRH,SPLIT RNG HNGR,SPLIT-RING HANGER,SPL RNG HNGR,S.R.H.,SPLIT RING SUPPORT,SPLIT-RING SUPPORT,SPLIT RNG SUPT,SPL RNG SUPT,SPLIT RING
282,3-WAY,THREE WAY,THREE-WAY,3WAY,3 WAY,THREEWAY,3-W,3W,THREE W,3 W,THREE-W
283,5-WAY SELECTOR,5 WAY SELECTOR,5 WAY SELECT VLV,5-WAY SELECT VALVE,5WAY SELECTOR,5-WAY SEL VLV,5 WAY SEL VLV,5WAY SELECT VALVE,5-WAY SELECTOR VLV,5 WAY SELECTOR VALVE,5WAY SEL VLV
284,BOILER DRAIN,BLR DRN,BLR DR,BLRDRN,B.D.,BD VLV,BOILER DR,BOILER DRN VLV,BLR DRAIN VLV,BOILER DRAIN VALVE,BD VALVE
285,CLOSET BOLT,CLS BLT,CLST BLT,CL BLT,CLT BLT,CLOSET B,C BOLT,CLST BOLT,CL BOLT,CLT BOLT,C.B.
286,COLLET SET,COLL SET,CLT SET,COL SET,COLLSET,CLTSET,COLSET,CSET,C-SET,CLS,CS
287,COMPRESSION NUT,COMP NUT,COMPNUT,COMP-NUT,COMPRESSION-NUT,COMP. NUT,COMPR NUT,COMPRESS NUT,COMP N,CNUT,C-NUT
288,COUPLING BARB,BARB COUPLING,CPLG BARB,BARB CPLG,HOSE BARB COUPLING,HOSE BARB CPLG,BARBED COUPLING,BARBED CPLG,CPL BARB,BARB CPL,COUPLING WITH BARB
289,DOUBLE PLUG,DBL PLUG,DBLE PLUG,D PLUG,DBL PLG,DBLE PLG,D PLG,DL PLUG,DL PLG,D.P.,DP
290,FERRULE,FER,FERL,FERR,FRLE,FRL,COMPRESSION FERRULE,COMP FERRULE,COMP FER,FERR COMP,FER COMP
291,FOG NOZZLE,FOG NZL,FOGNOZ,FG NOZZ,FG NZL,FOG NOZ,F NOZZLE,SPRAY NOZZLE,MIST NOZZLE,ATOMIZING NOZZLE,SPRAY NOZ
292,HEX ADAPTER,HEX ADPTR,HEXAGONAL ADAPTER,HEX ADP,HEX-ADP,HEXADP,HEX REDUCING ADAPTER,HEX RED ADAPTER,HEXAGONAL REDUCING ADAPTER,HEX ADPT,HEX-ADAPTER
293,HEX HEAD BOLT,HH BOLT,HEX BOLT,HEXHEAD BOLT,HEX HD BOLT,HH B,H.H.B.,HEX HD B,HHBOLT,HH BLT,HEXBOLT
294,HEX NIPPLE,HEX NIP,HEXNIP,HX NIP,HEXAGONAL NIPPLE,HEX NPLE,HX NPLE,HEXNPL,HEX NPL,HX NPL,H NIP
295,HOSE BARB,BARB,HB,HBARB,H BARB,H-BARB,HOSE-BARB,HOSBARB,HOSE FITTING,BARBED FITTING,BARB FITTING
296,HOSE CONNECTOR,HOSE CONN,HOSE CON,HSE CONN,HSE CON,H CONN,HOSE CNT,HOSE CONNECTION,HSE CONNECTION,H CONNECTION,HOSE CONNECT
297,HOSE MENDER,HOSE COUPLING,HOSE CONNECTOR,HOSE REPAIR,HOSE SPLICE,HOSE JOINER,HOSE UNION,HOSE FITTING,H/MENDER,H MENDER,H-MENDER
298,HOSE VALVE,HSV,HOSE VLV,HS VLV,H VLV,HOSE V,HSE VLV,H.V.,HS.VLV,HOSE-VLV,H-VLV
299,HOSE ADAPTER,ADAPTER HOSE,HOSE ADPT,HOSE ADP,ADPT HOSE,HSE ADPTR,HSE ADP,H ADAPTER,H ADPT,HOSE-ADPT,HOSE/ADPT
300,HOSE BIBB,HOSE BIB,HOSEBIB,HOSE BIBB VALVE,HOSEBIBB,HOSE VALVE,GARDEN VALVE,SILLCOCK,OUTDOOR FAUCET,SPIGOT,HOSE TAP
301,MALE CONNECTOR,MALE CONN,M CONN,MC,MALE CON,M CON,MALE FITTING,M FTG,MALE CONNECTION,M CONNECTION,MALE CNT
302,MALE ELBOW,ML ELBOW,ML ELL,MALE ELL,M ELBOW,M ELL,M.E.,ML.EL.,MALE 90,ML 90,M-EL
303,MALE INSERT,MI,M INSERT,MALE INS,M INS,MALE INSRT,M INSRT,ML INSERT,ML INS,ML INSRT,MALE-INSERT
304,304 MALE THREADED PLUG,304 MTH PLG,304 M THD PLG,304 MALE THD PLUG,304 M THREAD PLG,SS304 MALE THD PLG,304SS MTH PLUG,304 M THREADED PLG,304SST MTH PLG,304 MALE PLG,304 M PLG
305,MALE THREADED RUN TEE,MALE THD RUN TEE,M THD RUN TEE,MALE THREAD RUN TEE,MT RUN TEE,MALE THREADED RT,MALE THD RT,M THD RT,MTR TEE,MALE THR RUN T,M THREAD RUN TEE
306,NOZZLE,NZL,NOZ,NOZL,NZZL,NZ,N-ZL,SPRAY NOZZLE,NOZZL,SPRY NZL,NOZZEL
307,PIN LUG,P/LUG,P LUG,PIN-LUG,P-LUG,PLUG,P.LUG,P.L.,PIN LG,P/L,P/L/G
308,PORT CONNECTOR DOUBLE,DBL PORT CONN,DOUBLE PORT CONNECTOR,DBL PORT CONNECTOR,DOUBLE PORT CONN,PORT CONN DBL,PORT CONN DOUBLE,DPC,D.P.C.,2X PORT CONN,DUAL PORT CONN
309,309 PORT CONNECTOR UNION,309 PCU,309 PORT CONN UNION,309 PORT CONN,309 CONNECTOR UNION,309 CONN UNION,PORT CONNECTOR UNION 309,PCU 309,309 P C U,309 P.C.U.,309 PORT UN
310,PUMP ADAPTER,PUMP ADPT,PMP ADPTR,PUMP ADPTR,PMP ADAPTER,P ADAPTER,P ADPTR,PUMP ADP,PMP ADP,PUMP-ADAPTER,PMP-ADPTR
311,REDUCING ADAPTER,RED ADPT,RED ADAPTER,REDUCER ADAPTER,REDUC ADPT,REDUCING ADPT,RED ADP,RDCR ADPTR,REDUCER ADPT,REDUCING ADAPTOR,RDCR ADAPT
312,SOLENOID,SOL,SLN,SOLN,SOLEN,SOL VLV,SOLENOID VALVE,SOL VALVE,SLN VLV,SOLN VLV,SV
313,SPRING CHECK,SPRING CHK,SPR CHK,SPRG CHK,SPRING CHECK VLV,SPRING CHECK VALVE,SPR CHECK VLV,SPRG CHECK VALVE,SCV,S.C.V.,SPRING CHK VLV
314,THERMOMETER WELL ELBOW,THERM WELL ELBOW,THERMWELL ELBOW,THERM WELL ELL,THERMWELL ELL,TEMP WELL ELBOW,TEMP WELL ELL,THERMOWELL ELBOW,THERMOWELL ELL,THERM-WELL ELBOW,THERM-WELL ELL
315,UNION 90 ELBOW,UNION 90 ELL,UNION 90° ELBOW,UNION 90° ELL,UN 90 ELBOW,UN 90 ELL,UN 90° ELBOW,UN 90° ELL,UNION ELBOW 90,UN ELL 90,UNION ELL 90
316,316 UNION DOUBLE,316 DBL UNION,316 DOUBLE UNION,SS316 DBL UNION,SS316 DOUBLE UNION,316SS DBL UNION,316SS DOUBLE UNION,UNION DBL 316,UNION DOUBLE 316,DBL UNION 316,DOUBLE UNION 316
317,WASHER,WSH,WSHR,WASH,W/S,W-S,W.S.,WS,WASHERS,WSHS,W/SH
318,REDUCED PRESSURE ZONE,RPZ,RED PRESS ZONE,REDUCED PRESS ZONE,RED PRESSURE ZONE,R.P.Z.,RP ZONE,RED PR ZONE,REDUCED PR ZONE,RPZ ASSEMBLY,REDUCED PRESSURE ZONE ASSEMBLY
319,REDUCED PRESSURE ZONE VALVE,RPZ VALVE,RPZ VLV,RPZV,RED PRESS ZONE VLV,REDUCED PRESS ZONE V,RPZ,RED P ZONE VALVE,REDUCED P ZONE VLV,RP ZONE VALVE,RED PRESSURE ZONE V
320,ROUGHING VALVE,ROUGH-IN VALVE,ROUGH IN VLV,ROUGHING VLV,ROUGH-IN VLV,RGH-IN VALVE,RGH IN VLV,RGHIN VLV,RGH-IN VLV,ROUGH VALVE,RGH VLV
321,TRANSITION COUPLING,TRANS CPLG,TRANS COUPLING,TRN CPLG,TRANS CPLNG,TRANSITION CPLG,TR CPLG,TRANS-CPLG,TRANS. CPLG,TRAN COUPLING,TRANSITION CPL
322,TRAP PRIMER,TRAP PRM,TRP PRMR,TRP PRIMER,T PRIMER,TRAP PRI,T PRI,TP,TRPRM,T.P.,T-P
323,CAM AND GROOVE,CAM & GROOVE,CAM GROOVE,CAMLOCK,CAM-LOCK,CAM LOCK,KAMLOK,KAM-LOK,C&G,C AND G,C-N-G
324,CLAMP,CLP,CLMP,CLAMPING,CLAMPED,CLAM,CLAMPNG,CLMP-,CL,CLMPING,C-CLAMP
325,REPAIR,RPAIR,RPR,REPAR,REPR,REPARATION,RPRG,REP,REPARAR,REPARE,REPAIRING
326,REPAIR KIT,REPAIR KT,RPRKT,REP KIT,RPR KIT,REPR KIT,REP-KIT,RPR-KIT,RK,R/K,R.K.
327,3R 45 DEGREE ELBOW,3R 45 ELL,3R 45° ELL,3R 45 ELBOW,3R 45° ELBOW,ELBOW 3R 45,ELL 3R 45,3R 45DEG ELL,3R 45DEG ELBOW,3R 45-DEG ELBOW,3R 45-DEG ELL
328,3R 90 DEGREE ELBOW,3R 90 ELL,3R 90° ELL,3R 90 ELBOW,3R 90° ELBOW,ELBOW 3R 90,ELL 3R 90,3R 90DEG ELL,3R 90DEG ELBOW,3R 90 DEG ELL,3R LR ELBOW
329,3R 90 ELBOW,3R 90 ELL,3R 90° ELL,3R 90 ELBOW,3R 90° ELBOW,ELBOW 3R 90,ELL 3R 90,3R 90DEG ELL,3R 90DEG ELBOW,3R ELBOW 90,3R ELL 90
330,ADJUSTABLE CLEVIS,ADJ CLEVIS,ADJUST CLEVIS,ADJ CLEV,ADJUSTABLE CLEV,ADJ. CLEVIS,ADJUST. CLEVIS,ADJ-CLEVIS,ADJUST-CLEVIS,ADJUSTABLE CLVS,ADJ CLVS
331,ADJUSTABLE CLEVIS HANGER,ADJ CLEVIS HANGER,ADJ CLEVIS HANGR,ADJ CLV HANGER,ADJ CLV HANGR,ADJUSTABLE CLV HANGER,ADJUSTABLE CLV HANGR,ADJ CLEVIS,ADJUSTABLE CLEVIS,ADJ CLV,CLEVIS HANGER
332,BEAM ATTACHMENT,BEAM ATTACH,BM ATTACHMENT,BM ATTACH,BEAM CLAMP,BM CLAMP,BEAM CLIP,BM CLIP,BEAM FASTENER,BEAM CONNECTOR,BEAM SUPPORT
333,BEAM CLAMP,BM CLMP,B CLAMP,BEAM CLMP,B/CLAMP,B-CLAMP,BC,BEAM C,B.CLAMP,BM CLP,BEAM CLP
334,BUTTERFLY VALVE HANDLE,BFV HANDLE,BTF VLV HANDLE,BFLY VLV HANDLE,BTFLY VLV HANDLE,BV HANDLE,BFLY HANDLE,BTFLY HANDLE,BTF HANDLE,BFV HDL,BFLY HDL
335,BUTTERFLY HANDLE,BFV HANDLE,BFLY HANDLE,B'FLY HANDLE,BTF HANDLE,BUTTERFLY VLV HANDLE,BUTTERFLY VALVE HANDLE,BFV VLV HANDLE,BFLY VLV HANDLE,BTF VLV HANDLE,BV HANDLE
336,C CLAMP,C-CLAMP,C/CLAMP,CCLAMP,C TYPE CLAMP,C-TYPE CLAMP,C STYLE CLAMP,C-STYLE CLAMP,CSTYLE CLAMP,CTYPE CLAMP,C.CLAMP
337,CLAMP PIPE,PIPE CLAMP,P CLAMP,PIPE CLP,P CLP,PCLAMP,P/CLAMP,P-CLAMP,PIPE-CLAMP,PIPE/CLAMP,CLMP PIPE
338,CLEVIS,CLV,CLEVS,CLEV,CLE,CLEVIS HANGER,CLEVIS SUPPORT,PIPE CLEVIS,CLVS,CLEVIS PIN,CLV PIN
339,CLEVIS HANGER,CLV HNGR,CLEV HNGR,CLEVIS HGR,CLV HGR,CLEV HGR,CLEVIS,CLV,CLEV,CL HNGR,CL HGR
340,CLEVIS WITH PIN,CLEVIS W/ PIN,CLEVIS AND PIN,PIN CLEVIS,CLEVIS PIN ASSEMBLY,CLEVIS-PIN,CLEVIS/PIN,CLEVIS + PIN,PIN & CLEVIS,CLEVIS PIN SET,CLEVIS-PIN ASSY
341,CLIP,CLP,CLAMP,CLMP,PIPE CLIP,PIPE CLAMP,PIPE CLP,PIPE CLMP,SUPPORT CLIP,SUPPORT CLAMP,SUPPORT CLP
342,CONCENTRIC SWAGE NIPPLE,CONC SWAGE NIPPLE,CONCENTRIC SWAGE NIP,CONC SWG NIPPLE,CONC SWAGE NIP,CSN,CONC SWG NIP,CONCENTRIC REDUCER NIPPLE,CONC RED NIPPLE,CONC REDUCER NIP,CONCENTRIC NIP
343,COUPLING PLUG,CPLG PLUG,CPLNG PLG,CPL PLUG,PLUG CPLG,PLG CPLG,COUPLING PLG,CPG PLUG,CPLG PLG,COUP PLUG,COUP PLG
344,CPLUG,COUNTER PLUG,COUNTERSINK PLUG,COUNTERSUNK PLUG,C-PLUG,C PLG,COUNTER PLG,CSINK PLUG,CSUNK PLUG,C PLUG,CTR PLUG
345,DOUBLE BOLT PIPE CLAMP,DBL BOLT PIPE CLAMP,DOUBLE BOLT CLAMP,DBL BOLT CLAMP,2-BOLT PIPE CLAMP,TWO BOLT PIPE CLAMP,2BOLT CLAMP,DBPC,DB CLAMP,2-BOLT CLAMP,DBL-BOLT CLAMP
346,EYE NUT,EYENUT,EYE-NUT,EYE.NUT,E/NUT,E NUT,E-NUT,EYE N,EN,ENUT,E.NUT
347,FLAT WASHER,FW,F/W,F-W,F.W.,F WASHER,FLAT WASH,FL WASHER,FLAT WSH,FL WSH,WASHER
348,HANDWHEEL,HWHL,HW,HAND WHEEL,H/W,H-W,HAND-WHEEL,H.W.,HAND/WHEEL,HNDWHL,OPERATING WHEEL
349,HEAVY HEX NUT,HH NUT,H HEX NUT,HVY HEX NUT,HHNUT,HEAVY HEXNUT,HVY HX NUT,HH N,HEAVY HX NUT,H.H. NUT,HVY HEXNUT
350,350 HEX BULL PLUG,350# BULL PLUG,350LB BULL PLUG,350 BP HEX,350# BP HEX,350LB BP HEX,350 HEX BP,350# HEX BP,350LB HEX BP,350 CLASS BULL PLUG,350CLASS BP
351,HEX CAP,HEXAGON CAP,HEX HEAD CAP,HEXAGONAL CAP,HC,HEX CP,HX CAP,HEX C,HEXCAP,HEX-CAP,HEX.CAP
352,HEX HEAD BULL PLUG,HEX BULL PLUG,HEX HD BULL PLUG,HH BULL PLUG,HHBP,HEX HD BP,HEX BULL PLG,HEX HD B PLUG,HEX HEAD B PLUG,HH B PLUG,HEXHEAD BULL PLUG
353,HEXAGON NUT,HEX NUT,HEXNUT,HEX-NUT,HEX. NUT,HEXAGONAL NUT,HX NUT,HXNUT,H NUT,HN,HEXNUT
354,INSULATION PROTECTOR SHIELD,INS PROT SHIELD,INSUL PROT SHIELD,INS SHIELD,INSUL SHIELD,PROTECTION SHIELD,PROT SHIELD,IPS,PIPE SHIELD,INSULATION SHIELD,SADDLE SHIELD
355,INSULATION SHIELD,INS SHLD,INSUL SHIELD,INS SHIELD,INSUL SHLD,INSULATION SHLD,I-SHIELD,I SHLD,I-SHLD,INS-SHLD,INSUL-SHLD
356,LATERAL 45,LAT 45,45 LAT,45° LAT,45 LATERAL,45° LATERAL,LATERAL 45°,45 DEG LATERAL,45 DEGREE LATERAL,LAT 45°,45DEG LAT
357,LINED,LND,LINR,LIN,LIND,LINED PIPE,LINE,LINER,L/D,L-D,L.D.
358,LINED PIPE,LND PIPE,LINED PP,LND PP,LINED PIP,LND PIP,L PIPE,L PP,L PIP,LINED P,LND P
359,LOCK WASHER,LW,LOCK WSH,L WASHER,LCK WSHR,LOCKING WASHER,L/W,L.W.,LK WSHR,LOCK-WASHER,L-W
360,360. LOCKING HANDLE,360° LOCKING HANDLE,360 DEG LOCKING HANDLE,360 DEGREE LOCKING HANDLE,360 LH,360° LH,HANDLE 360 LOCK,HANDLE LOCK 360,360 LOCK HDL,360° LOCK HDL,360 DEG LH
361,LR 180 DEGREE ELBOW,LR 180 ELL,LR 180° ELL,LR 180 ELBOW,LR 180° ELBOW,ELBOW LR 180,ELL LR 180,LR 180D ELBOW,LR 180D ELL,LONG RADIUS 180 ELBOW,LONG RADIUS 180 ELL
362,LR 180 ELBOW,LR 180 ELL,LR 180° ELL,LR 180 ELBOW,LR 180° ELBOW,ELBOW LR 180,ELL LR 180,LONG RADIUS 180 ELBOW,LONG RADIUS 180 ELL,LR RETURN BEND,LONG RADIUS RETURN BEND
363,LR 45 DEGREE ELBOW,LR 45 ELL,LR 45° ELL,LR 45 ELBOW,LR 45° ELBOW,ELBOW LR 45,ELL LR 45,LR 45 DEG ELL,LR 45 DEG ELBOW,LONG RADIUS 45 ELBOW,LONG RADIUS 45 ELL
364,LR 45 ELBOW,LR 45 ELL,LR 45° ELL,LR 45 ELBOW,LR 45° ELBOW,ELBOW LR 45,ELL LR 45,LR 45,LONG RADIUS 45 ELBOW,LONG RADIUS 45° ELL,L.R. 45 ELBOW
365,365. LR ELBOW,365. LONG RADIUS ELBOW,365. LR ELL,365. LONG RADIUS ELL,365. ELL LR,365. ELBOW LR,365. L.R. ELBOW,365. L.R. ELL,365. LONG RAD ELBOW,365. LONG RAD ELL,365. L/R ELBOW
366,LR RETURN BEND,LONG RADIUS RETURN BEND,LR RET BEND,LR RTN BEND,LONG RAD RET BEND,LONG RAD RTN BEND,L.R. RETURN BEND,LR 180 BEND,LONG RADIUS 180 BEND,LR 180° BEND,LONG RADIUS 180° BEND
367,MACHINE BOLT,MACH BOLT,MCH BLT,MB,M.B.,MACH BLT,M BOLT,MACHINE BLT,MCH BOLT,M/B,MAC BLT
368,NIPOLET,NIPO,NIPLT,NIP,NPL,NLET,NIPOL,NIPL,NPLTT,NPLT,NIPLET
369,OVAL LOCKING HANDLE,OVAL LOCK HDL,OVAL LCK HANDLE,OVAL LK HDL,OV LOCK HDL,OV LCK HANDLE,OVL LOCK HDL,OVL LCK HANDLE,OVAL LOCKING HDL,OV LOCKING HDL,OVL LOCKING HDL
370,PIPE STRAP,PSTR,P STRAP,P/STRAP,P-STRAP,PIPE STR,PIPESTRAP,PIPE-STRAP,P.STRAP,PIPE/STRAP,P.STR
371,PLAIN END,PE,PLN END,PLAIN-END,PL END,P/E,P.E.,PLN E,P END,PLAIN,P-END
372,PLAIN END PIPE,PE PIPE,PLN END PIPE,PLAIN ENDED PIPE,PE PP,PEP,PLAIN END PP,PLAIN PIPE,P.E. PIPE,P/E PIPE,P.E.P
373,RECOVERY COUPLING,RECOVERY CPLG,REC COUPLING,REC CPLG,RCVY COUPLING,RCVY CPLG,RECOVERY CPLING,REC CPLING,RCVY CPL,RCV COUPLING,RCV CPLG
374,REDUCING LONG COUPLING,RED LONG CPLG,REDUCING LNG CPLG,RED LNG CPLG,REDUC LONG CPLG,RED LONG COUPLING,REDUCING LONG CPLNG,RED LG CPLG,REDUCING L CPLG,REDUC LG COUPLING,REDUCING LONG CPLG
375,RISER CLAMP,RISER CLMP,CLAMP RISER,CLMP RISER,RSR CLAMP,RSR CLMP,R/CLAMP,R/CLMP,R CLAMP,R CLMP,RISER CLP
376,ROUND BULL PLUG,RND BULL PLUG,RD BULL PLUG,ROUND BULLPLUG,RND BULLPLUG,RD BULLPLUG,BULL PLUG RND,BULL PLUG RD,BULLPLUG RND,BULLPLUG RD,RND BLP
377,ROUND HEAD EYE NUT,RH EYE NUT,RND HD EYE NUT,ROUND HD EYE NUT,RD HD EYE NUT,RHEY NUT,RH EYE N,RND HEAD E-NUT,ROUND EYE NUT,R.H. EYE NUT,RND EYE NUT
378,SEAL FITTING,SEAL FTG,SL FTG,SEAL FIT,SL FIT,SL FITTING,SEALING FITTING,SEAL-FTG,SEALFTG,SLFTG,SL-FTG
379,SPUD,SPD,SPUD FITTING,SPUD CONNECTION,SPUD CONNECTOR,SPUDPIECE,SPUD PIECE,SP,SPUD FTG,SPUD CONN,SPUD-CONN
380,SQUARE TUBE,SQ TUBE,SQ TB,SQTUBE,SQR TUBE,SQR TB,SQUARE TB,SQ TUBING,SQUARE TUBING,SQR TUBING,SQTB
381,SR 180 DEGREE ELBOW,SR 180 ELL,SR 180° ELL,SR 180 ELBOW,SR 180° ELBOW,ELBOW SR 180,ELL SR 180,180 SR ELBOW,180° SR ELBOW,180 SR ELL,180° SR ELL
382,SR 90 DEGREE ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SR90 ELBOW,SR90 ELL
383,SR 90 ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL
384,SR RETURN BEND,SR RTN BND,SR RET BEND,SR RTN BEND,SR RETURN B,SR RET B,SR RTN B,SHORT RADIUS RETURN BEND,SHORT RAD RETURN BEND,SHORT RADIUS RTN BND,SR 180 RETURN
385,STANDARD WELD TEE,STD WELD TEE,STD WLD TEE,STANDARD W TEE,STD W TEE,WELD TEE STD,WLD TEE STD,TEE STD WELD,TEE WLD STD,TEE W STD,STD WT
386,STEM,STM,VALVE STEM,VLV STM,V/STM,V-STM,VLV-STM,VALVE-STEM,V.STM,VLVSTM,VALVESTEM
387,STRAIGHT ROD COUPLING,STR ROD CPLG,STR ROD COUPLING,STRAIGHT ROD CPLG,ROD COUPLING STR,ROD CPLG STR,STR RD CPLG,STR RD COUPLING,STRAIGHT RD CPLG,STRAIGHT RD COUPLING,SRC
388,STRUT,STRUCTURAL SUPPORT,SUPPORT STRUT,PIPE STRUT,CHANNEL STRUT,STR,STRT,STRUCT,SUPPORT CHANNEL,METAL STRUT,MOUNTING STRUT
389,SWAGE,SWG,SWAG,SWEDGE,SWEDG,SWDG,SWAGED,SWAGING,SWGD,SWG NIPPLE,SWAGE NIPPLE
390,SWAGE CONCENTRIC,CONCENTRIC SWAGE,SWAGE CONC,CONC SWAGE,SWAGE CON,CON SWAGE,SWG CONC,CONC SWG,SWG CON,CON SWG,CONCENTRIC REDUCER
391,SWAGE NIPPLE,SWAGE NIP,SWG NIP,SWAGE,SWG NIPPLE,SWAGE NPL,SWG NPL,REDUCER NIPPLE,RED NIPPLE,CONCENTRIC NIPPLE,ECCENTRIC NIPPLE
392,THREADED AND COUPLED,T&C,THD & CPLG,THD AND CPLG,THRD & CPLG,THRD AND CPLG,T AND C,T + C,THD & COUPLED,THREADED & COUPLED,T/C
393,THREADED AND COUPLED PIPE,T&C PIPE,THD & CPLG PIPE,THRD & CPLG PIPE,THD AND CPLG PIPE,T AND C PIPE,T/C PIPE,T-C PIPE,THD & CPL PIPE,THRD AND COUPLED PIPE,T&C LINE PIPE
394,TRANSITION FITTING,TRANS FTG,TRANS FITTING,TRANSITION FTG,TRN FTG,TRANS-FTG,TRN FITTING,TRAN FTG,TRAN FITTING,TR FTG,TRANSITION
395,TURNBUCKLE,TRNBKL,TURN BUCKLE,TURN-BUCKLE,T-BUCKLE,T BUCKLE,T/BUCKLE,TURN/BUCKLE,T.BUCKLE,TURNBKL,T-BKL
396,U BOLT WITH NUTS,U-BOLT W/ NUTS,U-BOLT WITH NUTS,U BOLT W/NUTS,U-BOLT & NUTS,UBOLT WITH NUTS,U-BOLT/NUTS,U BOLT + NUTS,U-BOLT AND NUTS,UBOLT W/NUTS,U-BOLT ASSEMBLY
397,VALVE BOX BOTTOM,VLV BOX BTM,VB BOTTOM,VLV BX BTM,V/B BOTTOM,VALVE BX BTM,V.B. BOTTOM,VLV BOX BASE,VALVE BX BASE,VB BASE,V/B BASE
398,VALVE HANDLE,VLV HANDLE,VLV HDL,VALVE HDL,V/HANDLE,V/HDL,VALVE LEVER,VLV LEVER,HANDLE VLV,HDL VLV,V HANDLE
399,WEDGE ANCHOR,WDG ANCHR,WEDGE ANCR,WDG ANCHOR,WEDG ANCHR,W ANCHOR,WDG ANC,WEDGE ANC,W ANC,WDG-ANCHR,WEDGE-ANCHOR
400,WELD BEAM ATTACHMENT,WBA,WELD BM ATTACH,WLD BM ATTACH,BEAM ATTACHMENT WELD,W.B.A.,WELD BEAM ATTACH,WLD BEAM ATTACHMENT,WELDED BEAM ATTACHMENT,BEAM WELD ATTACHMENT,WELD BM ATT
401,WELD TEE,WLD TEE,WELDING TEE,BW TEE,BUTT WELD TEE,BUTTWELD TEE,BW T,WELD T,WLD T,BUTT WELD T,BUTTWELD T
402,WELD BEAM,WLD BEAM,W BEAM,W/BEAM,WELDED BEAM,W-BEAM,WLD BM,W BM,WBEAM,W.BEAM,WELD BM
403,403. 0.25 BEND,403-0.25 BEND,403-0.25° BEND,403 QUARTER BEND,403 1/4 BEND,403 90° BEND,403 90 DEG BEND,403-90 BEND,403.90 BEND,403 90 BEND,403-90° BEND
404,404. 0.125 BEND,404. 1/8 BEND,404 0.125 BEND,404 1/8 BEND,404. 45° BEND,404 45° BEND,404. 45 DEG BEND,404 45 DEG BEND,0.125 404 BEND,45° 404 BEND,45 DEG 404 BEND
405,BEND,BND,ELBOW,ELL,PIPE BEND,PIPE BND,PB,BENDING,BENT,BND PIPE,PIPE ELBOW
406,BLIND PLUG,BL PLUG,B PLUG,BLD PLUG,BLND PLUG,BLIND PLG,BL PLG,B PLG,BLD PLG,BLND PLG,PLG BLIND
407,COMBINATION LONG T-WYE,COMB LONG T-WYE,COMB LNG T-WYE,COMBO LNG T-WYE,COMBO LONG T-WYE,COMB T-WYE LONG,COMBO T-WYE LONG,CLT-WYE,COMB L T-WYE,COMBINATION T-WYE LONG,CLTW
408,CORED PLUG,CPLUG,C-PLUG,CORD PLG,CORED PLG,C PLUG,CRD PLG,C.PLUG,C/PLUG,COR PLG,CORED-PLUG
409,DIAPHRAGM,DIAPH,DIA,DIAP,DPHM,DIAPHM,DIAFRM,DPH,DIAFRAM,DIAPHRAM,DIAPRM
410,DOUBLE COMBINATION LONG T-WYE,DBL COMB LONG T-WYE,DOUBLE COMB LONG T-WYE,DBL COMBINATION LONG T-WYE,DBL CMB LNG T-WYE,DOUBLE CMB LNG T-WYE,DBL COMB L T-WYE,DOUBLE COMB L T-WYE,DBL COMBINATION L T-WYE,DCL T-WYE,DCLW
411,DOUBLE WYE,DBL WYE,DOUBLE Y,DBL Y,DY,D WYE,D Y,DOUBLE WY,DBL WY,DWY,D-WYE
412,INCREASER,INCR,INC,INCRS,INCREASR,RED INCR,REDUCING INCREASER,INC RED,INCREASER REDUCER,INCR RDCR,SIZE INCREASER
413,LONG T-WYE,LNG T-WYE,LONG TWY,LNG TWY,LONG TEE WYE,LNG TEE WYE,LONG T WYE,LNG T WYE,LONG TEE-WYE,LNG TEE-WYE,L T-WYE
414,LR BEND,LONG RADIUS BEND,L.R. BEND,LR BND,L R BEND,L.R.B.,LONG RAD BEND,L-R BEND,LRB,LONG-RADIUS BEND,L/R BEND
415,NAN,NANOMETER,NM,NANO,NANO METER,N-METER,N.M.,N.A.N.,N-M,N/M,N METER
416,P TRAP,P-TRAP,P TRP,P.TRAP,PTRAP,P TYPE TRAP,P-TYPE TRAP,P STYLE TRAP,P-STYLE TRAP,P BEND,P-BEND
417,RIM,RING,R.I.M.,R-I-M,R/I/M,R.I.M,RING INSERT METALLIC,RING INSERT MET,RING-INSERT-MET,RING/INSERT/MET,RING.INSERT.MET
