,UNNAMED 0,I,START_TIME,GT_DESC,INC_RFQ_RAW,INC_RFQ,CATEGORY,TYPE,PRIMARY_SIZE,REDUCING_SIZE,LENGTH,MATERIAL_NAME,MATERIAL_SPECIFICATION,MATERIAL_GRADE,PRESSURE_CLASS,PRIMARY_SCHEDULE,REDUCING_SCHEDULE,MANUFACTURING_PROCESS,END_FINISH,END_CONNECTIONS,UNNAMED 20,MISCELLANEOUS,CONFIDENCE,ORIGINAL_TEXT,INDEX,RANK,QUALITY
89,89,89,1023.5601255,6 X 3 STAINLESS STEEL SCHEDULE 10 304L SEAMLESS CONCENTRIC,"6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S","6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S",FITTING,CONCENTRIC REDUCER,6.0,3.0,,STAINLESS STEEL,A403,WP304/WP304L,,10S,10S,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S",89,115,TERRIBLE
90,90,90,1027.156685,4 CARBON STEEL 150 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLG,4,150,XH,RFWN,A105B","FLG,4,150,XH,RFWN,A105B",FLANGE,WELD NECK,4.0,,,CARBON STEEL,A105,B,150.0,XH,NAN,NAN,RAISED FACE,NAN,NAN,NAN,0.9,"FLG,4,150,XH,RFWN,A105B",90,198,TERRIBLE
91,91,91,1030.2993451,3 X 2 BLACK SCHEDULE XH CONCENTRIC SOCKETWELD SWAGE THREADED BOTH ENDS,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", TBE, SCH 80/XH, CARBON STEEL, A234","NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", TBE, SCH 80/XH, CARBON STEEL, A234",FITTING,CONCENTRIC REDUCER,3.0,2.0,,CARBON STEEL,A234,NAN,,SCHEDULE 80,EXTRA HEAVY,NAN,NAN,THREADED,NAN,NAN,0.9,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", TBE, SCH 80/XH, CARBON STEEL, A234",91,191,TERRIBLE
92,92,92,1033.5483893,6 CARBON STEEL SCHEDULE XH WELD 45 ELBOW,"6 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80","6 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",FITTING,LONG RADIUS ELBOW 45,6.0,,,CARBON STEEL,A234,WPB,,XH,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",92,138,TERRIBLE
93,93,93,1037.090817,8 CARBON STEEL SCHEDULE XH WELD 45 ELBOW,"8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80","8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",FITTING,45 DEGREE LONG RADIUS ELBOW,8.0,,,CARBON STEEL,A234,WPB,,80,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",93,109,TERRIBLE
94,94,94,1041.7151894,2 CARBON STEEL 150 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLANGE:RF WN,2IN,150LB,XH,A-105B","FLANGE:RF WN,2IN,150LB,XH,A-105B",FLANGE,WELD NECK,2.0,,,CARBON STEEL,A105,B,150.0,XH,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLANGE:RF WN,2IN,150LB,XH,A-105B",94,562,THE WORST
95,95,95,1044.9072713,2 CARBON STEEL 300 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLANGE:RF WN,2IN,300LB,XH,A105B","FLANGE:RF WN,2IN,300LB,XH,A105B",FLANGE,WELD NECK,2.0,,,CARBON STEEL,A105,B,300.0,XH,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLANGE:RF WN,2IN,300LB,XH,A105B",95,355,THE WORST
96,96,96,1048.0831718,6 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE A105N,"FLG,6,150,STD,RFWN,A105B","FLG,6,150,STD,RFWN,A105B",FLANGE,WELD NECK,6.0,,,CARBON STEEL,A105,B,150.0,STANDARD,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLG,6,150,STD,RFWN,A105B",96,327,THE WORST
97,97,97,1051.1230148,3 CARBON STEEL 300 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLANGE:RF WN,3IN,300LB,XH,A105B","FLANGE:RF WN,3IN,300LB,XH,A105B",FLANGE,WELD NECK,3.0,,,CARBON STEEL,A105,B,300.0,EXTRA HEAVY,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLANGE:RF WN,3IN,300LB,XH,A105B",97,246,THE WORST
98,98,98,1054.2165253,4 CARBON STEEL 300 STANDARD RAISED FACE WELD NECK A105N,"FLG,4,300,STD,RFWN,A105B","FLG,4,300,STD,RFWN,A105B",FLANGE,WELD NECK,4.0,,,CARBON STEEL,A105,B,300.0,STANDARD,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLG,4,300,STD,RFWN,A105B",98,266,THE WORST
99,99,99,1057.2549435,3 CARBON STEEL 150 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLG,3,150,XH,RFWN,A105B","FLG,3,150,XH,RFWN,A105B",FLANGE,WELD NECK,3.0,,,CARBON STEEL,A105,B,150.0,EXTRA HEAVY,NAN,NAN,RAISED FACE,NAN,NAN,NAN,0.9,"FLG,3,150,XH,RFWN,A105B",99,209,THE WORST
100,100,100,1060.6129981,2 X 1 BLACK SCHEDULE 160 CONCENTRIC SOCKETWELD SWAGE THREADED BOTH ENDS,"NIPPLE, SWAGE, CONCENTRIC, 2"" X 1"", TBE, SCH 160, CARBON STEEL, A106","NIPPLE, SWAGE, CONCENTRIC, 2"" X 1"", TBE, SCH 160, CARBON STEEL, A106",FITTING,CONCENTRIC REDUCER,2.0,1.0,,CARBON STEEL,A106,NAN,,160,NAN,NAN,NAN,THREADED,NAN,NIPPLE,0.9,"NIPPLE, SWAGE, CONCENTRIC, 2"" X 1"", TBE, SCH 160, CARBON STEEL, A106",100,291,THE WORST
