Customer's Inbound RFQ Description,Selected Part Number,Descrip from Prod Cat,Product Code,Description,Category_GT,Type_GT,Primary Size_GT,Reducing Size_GT,Length_GT,Material Name_GT,Material Specification_GT,Material Grade_GT,Pressure Class_GT,Primary Schedule_GT,Reducing Schedule_GT,Manufacturing Process_GT,End Finish_GT,End Connections_GT,Trim_GT,Miscellaneous_GT,confidence_GT,original_text_GT,Primary Wall_GT,Reducing Wall_GT,Wall Thickness_GT,max_GT,od_GT,id_GT,wall_GT,i,START_TIME_RFQ,gt_desc,inc_rfq_raw,inc_rfq,CATEGORY_RFQ,TYPE_RFQ,PRIMARY_SIZE_RFQ,REDUCING_SIZE_RFQ,LENGTH_RFQ,MATERIAL_NAME_RFQ,MATERIAL_SPECIFICATION_RFQ,MATERIAL_GRADE_RFQ,PRESSURE_CLASS_RFQ,PRIMARY_SCHEDULE_RFQ,REDUCING_SCHEDULE_RFQ,MANUFACTURING_PROCESS_RFQ,END_FINISH_RFQ,END_CONNECTIONS_RFQ,,MISCELLANEOUS_RFQ,CONFIDENCE_RFQ,ORIGINAL_TEXT_RFQ
"15000392-ELBOW,LR90,4,S120",KWL904012,"4"" S-120 LR 90° WELD ELL, SA234-WPB",KWL904012,"4"" S-120 LR 90° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,4.0,,,CARBON STEEL,SA234,WPB,,120,,,,BUTT WELD,,,0.9,4\\ S-120 LR 90° WELD ELL SA234-WPB,,,,,,,,486,1035.5308855,"4"" S-120 LR 90° WELD ELL, SA234-WPB","15000392-ELBOW,LR90,4,S120","15000392-ELBOW,LR90,4,S120",fitting,lr_90_elbow,4.0,,,,,,,120,,,,,,,0.8,"15000392-ELBOW,LR90,4,S120"
"11100576-FLG,WN,RF,10,600#,XH (S60)-SA-105",FWN061001X,"10"" 600# RF WELD NECK FLANGE XH BORE, SA105N",FWN061001X,"10"" 600# RF WELD NECK FLANGE XH BORE, SA105N",FLANGE,WELD NECK,10.0,,,CARBON STEEL,A105,N,600,XH,,,RAISED FACE,,,,0.9,10\\ 600# RF WELD NECK FLANGE XH BORE SA105N,,,,,,,,1000,1039.5073305,"10"" 600# RF WELD NECK FLANGE XH BORE, SA105N","11100576-FLG,WN,RF,10,600#,XH (S60)-SA-105","11100576-FLG,WN,RF,10,600 ,XH (S60)-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,600,extra_heavy,,,raised_face,,,,0.9,"11100576-FLG,WN,RF,10,600 ,XH (S60)-SA-105"
"12700485-PIPE,SMLS,22,S30 (XH)",IPA220XHTA,"22"" XH .500W SA106-B/C API5L/X42 SEAMLESS PIPE",IPA220XHTA,"22"" XH .500W SA106-B/C API5L/X42 SEAMLESS PIPE",PIPE,SEAMLESS PIPE,22.0,,,CARBON STEEL,A106,B/C,,XH,,SEAMLESS,,,,API5L/X42,0.9,22\\ XH .500W SA106-B/C API5L/X42 SEAMLESS PIPE,,,,,,,,744,1043.9904467,"22"" XH .500W SA106-B/C API5L/X42 SEAMLESS PIPE","12700485-PIPE,SMLS,22,S30 (XH)","12700485-PIPE,SMLS,22,S30 (XH)",pipe,smls_pipe,22.0,,,,S30,,,XH,,seamless,,,,,0.8,"12700485-PIPE,SMLS,22,S30 (XH)"
"11100833-FLG,WN,RF,8,600#,XH (S80)-SA-105N",IFWN060801X,"8"" 600# RF WELD NECK FLANGE XH BORE, SA105N",IFWN060801X,"8"" 600# RF WELD NECK FLANGE XH BORE, SA105N",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,N,600,XH,,,RAISED FACE,,,XH BORE,0.9,8\\ 600# RF WELD NECK FLANGE XH BORE SA105N,,,,,,,,118,1048.3160699,"8"" 600# RF WELD NECK FLANGE XH BORE, SA105N","11100833-FLG,WN,RF,8,600#,XH (S80)-SA-105N","11100833-FLG,WN,RF,8,600 ,XH (S80)-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,600,extra_heavy,,,raised_face,,,,1.0,"11100833-FLG,WN,RF,8,600 ,XH (S80)-SA-105N"
"12700565-PIPE,SMLS,4,S120-SA-106B",IPA04012TR,"4"" S-120 .438W BLK SA53-B/ SA106-B/CSEAMLESS PIPE (SPAIN)",IPA04012TR,"4"" S-120 .438W BLK SA53-B/ SA106-B/CSEAMLESS PIPE (SPAIN)",PIPE,SEAMLESS,4.0,,,CARBON STEEL,SA53-B/SA106-B,,,S-120,,SEAMLESS,BLACK,,,.438W,0.9,4\\ S-120 .438W BLK SA53-B/ SA106-B/CSEAMLESS PIPE (SPAIN),,,,,,,,490,1054.1175871,"4"" S-120 .438W BLK SA53-B/ SA106-B/CSEAMLESS PIPE (SPAIN)","12700565-PIPE,SMLS,4,S120-SA-106B","12700565-PIPE,SMLS,4,S120-SA-106B",pipe,seamless_pipe,4.0,,,carbon_steel,A106,B,,120,,seamless,,,,,0.9,"12700565-PIPE,SMLS,4,S120-SA-106B"
"10-150RFWNS-FLG,WN,RF,10,150#,STD-SA-105",FWN011001S8,"10"" 150# RF WELD NECK FLANGE S-80 BORE, SA105N-FGP/LF2",FWN011001S8,"10"" 150# RF WELD NECK FLANGE S-80 BORE, SA105N-FGP/LF2",FLANGE,WELD NECK,10.0,,,CARBON STEEL,A105N,LF2,150,80,,,RAISED FACE,,,FGP,0.9,10\\ 150# RF WELD NECK FLANGE S-80 BORE SA105N-FGP/LF2,,,,,,,,1016,1058.0573937,"10"" 150# RF WELD NECK FLANGE S-80 BORE, SA105N-FGP/LF2","10-150RFWNS-FLG,WN,RF,10,150#,STD-SA-105","10-150RFWNS-FLG,WN,RF,10,150 ,STD-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,150,standard,,,raised_face,,,,0.9,"10-150RFWNS-FLG,WN,RF,10,150 ,STD-SA-105"
"11100786-FLG,WN,RF,6,150#,XH (S80)-SA-105N",FWN010601X,"6"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP",FWN010601X,"6"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP",FLANGE,WELD NECK,6.0,,,CARBON STEEL,A105N,,150,XH,,,RAISED FACE,,,FGP,0.9,6\\ 150# RF WELD NECK FLANGE XH BORE SA105N-FGP,,,,,,,,360,1062.5050613,"6"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP","11100786-FLG,WN,RF,6,150#,XH (S80)-SA-105N","11100786-FLG,WN,RF,6,150 ,XH (S80)-SA-105N",flange,weld_neck,6.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,0.9,"11100786-FLG,WN,RF,6,150 ,XH (S80)-SA-105N"
"12700321-PIPE,SMLS,10,S160-SA-106B",PA10016,"10"" S-160 1.125W SA106-B SEAMLESS PIPE",PA10016,"10"" S-160 1.125W SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,10.0,,,CARBON STEEL,A106,B,,160,,SEAMLESS,,,,1.125W,0.9,10\\ S-160 1.125W SA106-B SEAMLESS PIPE,,,,,,,,992,1067.5474406,"10"" S-160 1.125W SA106-B SEAMLESS PIPE","12700321-PIPE,SMLS,10,S160-SA-106B","12700321-PIPE,SMLS,10,S160-SA-106B",pipe,seamless_pipe,10.0,,,carbon_steel,SA106,B,,160,,seamless,,,,,0.9,"12700321-PIPE,SMLS,10,S160-SA-106B"
"11100639-FLG,WN,RF,2,600#,S160",FWN06020116PPI,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FWN06020116PPI,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FLANGE,WELD NECK,2.0,,,CARBON STEEL,A105,N,600,160,,,RAISED FACE,,,FGP,0.9,2\\ 600# RF WELD NECK FLANGE S-160 BORE SA105N-FGP,,,,,,,,816,1071.5068084,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100639-FLG,WN,RF,2,600#,S160","11100639-FLG,WN,RF,2,600 ,S160",flange,weld_neck,2.0,,,carbon_steel,,S160,600,,,,raised_face,,,,0.9,"11100639-FLG,WN,RF,2,600 ,S160"
"12700464-PIPE,SMLS,20,S80",IPA20008AM,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE",IPA20008AM,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS PIPE,20.0,,,CARBON STEEL,A106,B,,80,,SEAMLESS,BLACK,,,1.031W,0.9,20\\ S-80 1.031W BLK SA106-B SEAMLESS PIPE,,,,,,,,760,1077.6755168,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE","12700464-PIPE,SMLS,20,S80","12700464-PIPE,SMLS,20,S80",pipe,seamless_pipe,20.0,,,,,,,80,,seamless,,,,,0.8,"12700464-PIPE,SMLS,20,S80"
"8-SA106BS-PIPE,SMLS,8,STD (S40)",IPA080ST,"8"" STD .322W BLK SA106-B/SA53-B/API-5L X42 SEAMLESS PIPE",IPA080ST,"8"" STD .322W BLK SA106-B/SA53-B/API-5L X42 SEAMLESS PIPE",PIPE,SEAMLESS PIPE,8.0,,,CARBON STEEL,SA106/SA53/API-5L,B/B/X42,,STANDARD,,SEAMLESS,BLACK,,,.322W WALL THICKNESS,0.9,8\\ STD .322W BLK SA106-B/SA53-B/API-5L X42 SEAMLESS PIPE,,,,,,,,54,1081.8650912,"8"" STD .322W BLK SA106-B/SA53-B/API-5L X42 SEAMLESS PIPE","8-SA106BS-PIPE,SMLS,8,STD (S40)","8-SA106BS-PIPE,SMLS,8,STD (S40)",pipe,seamless_pipe,8.0,,,carbon_steel,A106,B,,standard,,seamless,,,,S40,0.9,"8-SA106BS-PIPE,SMLS,8,STD (S40)"
"11100835-FLG,WN,RF,8,600#,S120",FWN06080110,"8"" 600# RF WELD NECK FLANGE S-100 BORE, SA105N",FWN06080110,"8"" 600# RF WELD NECK FLANGE S-100 BORE, SA105N",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,N,600,,,,RAISED FACE,,,S-100 BORE,0.9,8\\ 600# RF WELD NECK FLANGE S-100 BORE SA105N,,,,,,,,126,1086.6510756,"8"" 600# RF WELD NECK FLANGE S-100 BORE, SA105N","11100835-FLG,WN,RF,8,600#,S120","11100835-FLG,WN,RF,8,600 ,S120",flange,weld_neck,8.0,,,,,,600,120,,,raised_face,,,,0.9,"11100835-FLG,WN,RF,8,600,S120"
"2"" XXS LR WN 90 DEG. A234WPB",WWL9020XX,"2"" XXH LR 90° WELD ELL SA234-WPB",WWL9020XX,"2"" XXH LR 90° WELD ELL SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,2.0,,,CARBON STEEL,SA234,WPB,,XXH,,,,BW,,,0.9,2\\ XXH LR 90° WELD ELL SA234-WPB,,,,,,,,790,1092.2802084,"2"" XXH LR 90° WELD ELL SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,long_radius_90_elbow,2.0,,,carbon_steel,A234,WPB,,XXS,,,weld_neck,,,,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
"12700615-PIPE,SMLS,6,S120-SA-106B",IPA06016TR,"6"" S-160 .719W SA106-B/C SEAMLESS PIPE (SPAIN)",IPA06016TR,"6"" S-160 .719W SA106-B/C SEAMLESS PIPE (SPAIN)",PIPE,SEAMLESS PIPE,6.0,,,CARBON STEEL,A106,B/C,,160,,SEAMLESS,,,,(SPAIN),0.9,6\\ S-160 .719W SA106-B/C SEAMLESS PIPE (SPAIN),,,,,,,,268,1096.6278321,"6"" S-160 .719W SA106-B/C SEAMLESS PIPE (SPAIN)","12700615-PIPE,SMLS,6,S120-SA-106B","12700615-PIPE,SMLS,6,S120-SA-106B",pipe,seamless,6.0,,,carbon_steel,A106,B,,120,,seamless,,,,,0.9,"12700615-PIPE,SMLS,6,S120-SA-106B"
"H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F304/304L",IM3S49E010,"1"" 3000# FS SOCKET WELD 90° ELL, 304Lss",IM3S49E010,"1"" 3000# FS SOCKET WELD 90° ELL, 304Lss",FITTING,90 DEGREE ELBOW,1.0,,,STAINLESS STEEL,,304L,3000,FORGED,,,,SOCKET WELD,,,0.9,1\\ 3000# FS SOCKET WELD 90° ELL 304Lss,,,,,,,,1114,1100.2013844,"1"" 3000# FS SOCKET WELD 90° ELL, 304Lss","H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F304/304L","H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F1.0L",fitting,90_elbow,1.0,,,stainless_steel,A182,F1.0L,3000,,,,,socket_weld,,,0.9,"H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F1.0L"
"1"" 300# RFSW Flange S/80 Bore A/SA105",IFSW030101XGB,"1"" 300# RFSOCKET WELD FLANGE XH BORE, SA105N (GELDBACH)",IFSW030101XGB,"1"" 300# RFSOCKET WELD FLANGE XH BORE, SA105N (GELDBACH)",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,N,300,XH,,,RAISED FACE,SOCKET WELD,,GELDBACH,0.9,1\\ 300# RFSOCKET WELD FLANGE XH BORE SA105N (GELDBACH),,,,,,,,1118,1104.5988547,"1"" 300# RFSOCKET WELD FLANGE XH BORE, SA105N (GELDBACH)","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,raised_face_socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
"GX1220 FL8,150,WN,RF,STD,ASTM A105N",IFWN010801S,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105",IFWN010801S,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,,150,STD,,,RAISED FACE,,,STANDARD BORE,0.9,8\\ 150# RF WELD NECK FLANGE STD BORE SA105,,,,,,,,158,1109.4054849,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105","GX1220 FL8,150,WN,RF,STD,ASTM A105N","GX1220 FL8,150,WN,RF,STD,ASTM A105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,150,standard,,,raised_face,,,GX1220,1.0,"GX1220 FL8,150,WN,RF,STD,ASTM A105N"
"1"" 300# RFSW Flange S/80 Bore A/SA105",FSW030101XBTX,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105",FSW030101XBTX,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,,300,XH,,,RAISED FACE,SOCKET WELD,,XH BORE,0.9,1\\ 300# RF SOCKET WELD FLANGE XH BORE SA105,,,,,,,,1124,1116.3531894,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
"8"" Sch 40 A106B smls",IPA080STTM,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",IPA080STTM,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",PIPE,SEAMLESS PIPE,8.0,,,CARBON STEEL,A53B/A106B/API5L,X42,,STANDARD,,SEAMLESS,PLAIN END,,,.322W WALL THICKNESS,0.9,8\\ STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE,,,,,,,,62,1122.4920779,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","8"" Sch 40 A106B smls","8"" SCH 40 A106B SMLS",pipe,seamless_pipe,8.0,,,carbon_steel,A106,B,,40,,seamless,,,,,1.0,"8"" SCH 40 A106B SMLS"
"8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB",IWL4080STM,"8"" STD LR 45°WELD ELL, SA234-WPB",IWL4080STM,"8"" STD LR 45°WELD ELL, SA234-WPB",FITTING,LONG RADIUS 45 ELBOW,8.0,,,CARBON STEEL,SA234,WPB,,STANDARD,,,,BUTT WELD,,,0.9,8\\ STD LR 45°WELD ELL SA234-WPB,,,,,,,,42,1130.1441014,"8"" STD LR 45°WELD ELL, SA234-WPB","8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB","8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB",fitting,long_radius_45_elbow,8.0,,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB"
"6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB",IWL4060X,"6"" XH LR 45°WELD ELL, SA234-WPB (MALAYSIA)",IWL4060X,"6"" XH LR 45°WELD ELL, SA234-WPB (MALAYSIA)",FITTING,LONG RADIUS 45 ELBOW,6.0,,,CARBON STEEL,SA234,WPB,,EXTRA HEAVY,,,BUTT WELD,BW,,MALAYSIA,0.9,6\\ XH LR 45°WELD ELL SA234-WPB (MALAYSIA),,,,,,,,184,1133.8058508,"6"" XH LR 45°WELD ELL, SA234-WPB (MALAYSIA)","6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB","6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB",fitting,long_radius_45_elbow,6.0,,,carbon_steel,A234,WPB,,extra_heavy,,,,,,,0.9,"6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB"
"12700573-PIPE,SMLS,4,XXH, Gr C-SA-106C",PA040XX,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE !*! CHECK BEFORE SELLING !*!",PA040XX,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE !*! CHECK BEFORE SELLING !*!",PIPE,SEAMLESS PIPE,4.0,,,CARBON STEEL,A106,B,,XXH,,SEAMLESS,BLACK,,,CHECK BEFORE SELLING,0.9,4\\ XXH .674W BLK SA106-B SEAMLESS PIPE !*! CHECK BEFORE SELLING !*!,,,,,,,,382,1138.2009284,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE !*! CHECK BEFORE SELLING !*!","12700573-PIPE,SMLS,4,XXH, Gr C-SA-106C","12700573-PIPE,SMLS,4,XXH, GR C-SA-106C",pipe,seamless_pipe,4.0,,,carbon_steel,A106,C,,xxh,,seamless,,,,,0.9,"12700573-PIPE,SMLS,4,XXH, GR C-SA-106C"
"12700633-PIPE,SMLS,8,S120-SA-106B",IPA08012A,"8"" S-120 .719W BLK SA106-B/C API5L/X42 SEAMLESS PIPE",IPA08012A,"8"" S-120 .719W BLK SA106-B/C API5L/X42 SEAMLESS PIPE",PIPE,SEAMLESS PIPE,8.0,,,CARBON STEEL,A106,B/C,,120,,SEAMLESS,BLACK,,,API5L/X42,0.9,8\\ S-120 .719W BLK SA106-B/C API5L/X42 SEAMLESS PIPE,,,,,,,,88,1142.5969879,"8"" S-120 .719W BLK SA106-B/C API5L/X42 SEAMLESS PIPE","12700633-PIPE,SMLS,8,S120-SA-106B","12700633-PIPE,SMLS,8,S120-SA-106B",pipe,seamless_pipe,8.0,,,carbon_steel,SA-106,B,,120,,seamless,,,,,0.9,"12700633-PIPE,SMLS,8,S120-SA-106B"
"6"" Sch 40 A53B ERW",IPE060ST,"6"" STD .280W BLK SA53-B ERW PIPE",IPE060ST,"6"" STD .280W BLK SA53-B ERW PIPE",PIPE,ERW PIPE,6.0,,,CARBON STEEL,A53,B,,STANDARD,,ERW,BLACK,,,.280W,0.9,6\\ STD .280W BLK SA53-B ERW PIPE,,,,,,,,236,1148.952547,"6"" STD .280W BLK SA53-B ERW PIPE","6"" Sch 40 A53B ERW","6"" SCH 40 A53B ERW",pipe,erw_pipe,6.0,,,carbon_steel,A53,B,,40,,ERW,,,,,1.0,"6"" SCH 40 A53B ERW"
"15000155-ELBOW,LR45,2,S160",IWL402016A,"2"" S-160 LR 45°WELD ELL, SA234-WPB",IWL402016A,"2"" S-160 LR 45°WELD ELL, SA234-WPB",FITTING,LONG RADIUS 45 ELBOW,2.0,,,CARBON STEEL,SA234,WPB,,160,,,BW,BUTT WELD,,,0.9,2\\ S-160 LR 45°WELD ELL SA234-WPB,,,,,,,,802,1153.5512019,"2"" S-160 LR 45°WELD ELL, SA234-WPB","15000155-ELBOW,LR45,2,S160","15000155-ELBOW,LR45,2,S160",fitting,long_radius_45_elbow,2.0,,,,,,,160,,,,,,,0.8,"15000155-ELBOW,LR45,2,S160"
"11100653FLG,WN,RF,10,150#,S160-SA-105N",FWN01100116PPI,"10"" 150# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FWN01100116PPI,"10"" 150# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FLANGE,WELD NECK,10.0,,,CARBON STEEL,A105,N,150,160,,,RAISED FACE,,,FGP,0.9,10\\ 150# RF WELD NECK FLANGE S-160 BORE SA105N-FGP,,,,,,,,1018,1157.0662564,"10"" 150# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100653FLG,WN,RF,10,150#,S160-SA-105N","11100653FLG,WN,RF,10,150 ,S160-SA-105N",flange,weld_neck,10.0,,,carbon_steel,A105,N,150,160,,,raised_face,,,,0.9,"11100653FLG,WN,RF,10,150 ,S160-SA-105N"
"11100566-FLG,WN,RF,12,150#,XH-SA-105N",FWN011201X,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP/SA 350 LF2 CL1",FWN011201X,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP/SA 350 LF2 CL1",FLANGE,WELD NECK,12.0,,,CARBON STEEL,SA105N,LF2,150,XH,,,RAISED FACE,,,CL1,0.9,12\\ 150# RF WELD NECK FLANGE XH BORE SA105N-FGP/SA 350 LF2 CL1,,,,,,,,910,1165.8618259,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP/SA 350 LF2 CL1","11100566-FLG,WN,RF,12,150#,XH-SA-105N","11100566-FLG,WN,RF,12,150 ,XH-SA-105N",flange,weld_neck,12.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,1.0,"11100566-FLG,WN,RF,12,150 ,XH-SA-105N"
"4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB",IWL9040S,"4"" STD LR 90° WELD ELL, SA234-WPB",IWL9040S,"4"" STD LR 90° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,4.0,,,CARBON STEEL,SA234,WPB,,STANDARD,,,,BUTT WELD,,,0.9,4\\ STD LR 90° WELD ELL SA234-WPB,,,,,,,,438,1171.1814272,"4"" STD LR 90° WELD ELL, SA234-WPB","4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB","4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB",fitting,long_radius_90_elbow,4.0,,,carbon_steel,SA234,WPB,,standard,,,,,,,0.9,"4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB"
"H05610 PI3-10S,WELDED,ASTM A312 GR.TP304/304L",IPE403001,"3"" S-10S .120W WELDED SA312 TP304/304L",IPE403001,"3"" S-10S .120W WELDED SA312 TP304/304L",PIPE,WELDED,3.0,,,STAINLESS STEEL,SA312,TP304/304L,,10S,,WELDED,,,,.120W,0.9,3\\ S-10S .120W WELDED SA312 TP304/304L,,,,,,,,692,1181.6432033,"3"" S-10S .120W WELDED SA312 TP304/304L","H05610 PI3-10S,WELDED,ASTM A312 GR.TP304/304L","H05610 PI3-10S,WELDED,ASTM A312 GR.TP1.0L",pipe,welded,3.0,,10.0,stainless_steel,A312,TP1.0L,,,,welded,,,,,0.8,"H05610 PI3-10S,WELDED,ASTM A312 GR.TP1.0L"
"4"" 300# Lap Joint Flange A/SA105",FLJ030402BTX,"4"" 300# FLAT FACE LAP JOINT FLANGE, SA105",FLJ030402BTX,"4"" 300# FLAT FACE LAP JOINT FLANGE, SA105",FLANGE,LAP JOINT,4.0,,,CARBON STEEL,SA105,,300,,,,FLAT FACE,,,,0.9,4\\ 300# FLAT FACE LAP JOINT FLANGE SA105,,,,,,,,572,1185.3165167,"4"" 300# FLAT FACE LAP JOINT FLANGE, SA105","4"" 300# Lap Joint Flange A/SA105","4"" 300 LAP JOINT FLANGE A/SA105",flange,lap_joint,4.0,,,carbon_steel,A105,,300,,,,,,,,1.0,"4"" 300 LAP JOINT FLANGE A/SA105"
"IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N",M3S007360N,"36"" - 1-1/2"" x 3/4"" 3000# FS SOCKET WELD FLEX-O-LET, SA105N",M3S007360N,"36"" - 1-1/2"" x 3/4"" 3000# FS SOCKET WELD FLEX-O-LET, SA105N",FITTING,FLEXOLET,36.0,1.5,,CARBON STEEL,SA105,N,3000,,,,,SOCKET WELD,,FLEX-O-LET,0.9,36\\ - 1-1/2\\ x 3/4\\ 3000# FS SOCKET WELD FLEX-O-LET SA105N,,,,,,,,590,1191.2179615,"36"" - 1-1/2"" x 3/4"" 3000# FS SOCKET WELD FLEX-O-LET, SA105N","IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N","IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N",fitting,sockolet,8.0,0.75,,carbon_steel,A105,N,3000,standard,extra_strong,,,,,,0.9,"IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N"
"8-XA106BS-PIPE,SMLS,8,XH (S80)",PA080XH,"8"" XH .500w BLK QUAD STENCILED SA106-B SEAMLESS PIPE",PA080XH,"8"" XH .500w BLK QUAD STENCILED SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,8.0,,,CARBON STEEL,A106,B,,XH,,SEAMLESS,BLACK,,,QUAD STENCILED,0.9,8\\ XH .500w BLK QUAD STENCILED SA106-B SEAMLESS PIPE,,,,,,,,10,1195.4337713,"8"" XH .500w BLK QUAD STENCILED SA106-B SEAMLESS PIPE","8-XA106BS-PIPE,SMLS,8,XH (S80)","8-XA106BS-PIPE,SMLS,8,XH (S80)",pipe,smls_pipe,8.0,,,carbon_steel,A106,B,,XH,,seamless,,,,S80,0.9,"8-XA106BS-PIPE,SMLS,8,XH (S80)"
"11100835-FLG,WN,RF,8,600#,S120",FWN06080112,"8"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N FGP/SA 350 LF2",FWN06080112,"8"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N FGP/SA 350 LF2",FLANGE,WELD NECK,8.0,,,CARBON STEEL,SA105N,LF2,600,,,,RAISED FACE,,,S-120 BORE,0.9,8\\ 600# RF WELD NECK FLANGE S-120 BORE SA105N FGP/SA 350 LF2,,,,,,,,124,1200.952696,"8"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N FGP/SA 350 LF2","11100835-FLG,WN,RF,8,600#,S120","11100835-FLG,WN,RF,8,600 ,S120",flange,weld_neck,8.0,,,stainless_steel,,120,600,,,,raised_face,,,,0.9,"11100835-FLG,WN,RF,8,600 ,S120"
"2"" XXS LR WN 90 DEG. A234WPB",KWL9020XX,"2"" XXH LR 90° WELD ELL, SA234-WPB",KWL9020XX,"2"" XXH LR 90° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,2.0,,,CARBON STEEL,SA234,WPB,,XXH,,,,BW,,,0.9,2\\ XXH LR 90° WELD ELL SA234-WPB,,,,,,,,784,1204.9299471,"2"" XXH LR 90° WELD ELL, SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,elbow_90_long_radius,2.0,,,carbon_steel,A234,WPB,,XXS,,,,butt_weld,,weld_neck,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
