Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
27138,4X20 FT CS PTFE LINED PE PIPE,pipe,pipe,4,,20,carbon steel,,,,,,,plain ends,,ptfe lined,,0.8
27139,5 Black PE A106B S120 SMLS Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,120,,seamless,plain end,,,drl,0.95
27140,5 Black Plain End A106B Extra Extra Heavy Seamless Pipe,pipe,pipe,5,,,carbon steel,A106,B,,XXH,,seamless,plain end,,,,0.9
27141,5 Black Plain End A106B S160 Seamless Pipe SRL,pipe,pipe,5,,,carbon steel,A106,B,,160,,seamless,plain end,,,SRL,0.95
27142,5 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27143,5 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,drl,0.9
27144,5 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27145,5 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27146,5 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,black srl,0.95
27147,5 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,plain end,,,black srl,0.95
27148,5 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,80,,seamless,plain end,,,drl,0.95
27149,5 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,80,,seamless,plain end,,,black drl,0.95
27150,5 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A106,B,,80,,seamless,plain end,,,drl,0.95
27151,5 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,5,,,carbon steel,A106,B,,80,,seamless,plain end,,,black srl,0.95
27152,5 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,5,,,carbon steel,A106,B,,80,,seamless,plain end,pe,,srl,0.95
27153,5 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27154,5 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,5,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.9
27155,5 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,5,,,carbon steel,A53,B,,40,,ERW,plain end,,,black SRL,0.95
27156,5 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,5,,,carbon steel,A53,B,,40,,ERW,PE,,,BLACK,0.95
27157,5 Black Plain End A53B Schedule 80 ERW SRL Pipe,pipe,pipe,5,,,carbon steel,A53,B,,80,,ERW,plain end,,,black SRL,0.95
27158,5 Galvanized Plain End A106B Schedule 40 Seamless Pipe SRL,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,galvanized,plain end,,srl,0.95
27159,5 Galvanized Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,5,,,carbon steel,A106,B,,40,,seamless,galvanized,plain end,,srl,0.95
27160,6 Black A333 GR6 S160 Seamless Pipe,pipe,pipe,6,,,carbon steel,A333,6,,160,,seamless,,,,black,0.95
27161,6 Black A333 GR6 Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A333,6,,40,,seamless,drl,,,black,0.9
27162,6 Black A333 GR6 Schedule 40 Seamless Pipe,pipe,pipe,6,,,carbon steel,A333,6,,40,,seamless,,,,black,0.9
27163,6 Black A333 GR6 Schedule 40 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A333,6,,40,,seamless,,,,black srl,0.95
27164,6 Black A333 GR6 Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A333,6,,80,,seamless,drl,,,black,0.95
27165,6 Black A333 GR6 Schedule 80 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A333,6,,80,,seamless,,,,black srl,0.9
27166,6 Black API5LB Schedule 40 FBE Double Random Length Seamless Pipe,pipe,pipe,6,,,carbon steel,API5L,B,,40,,seamless,FBE,DRL,,black,0.9
27167,6 Black PE A106B S120 SMLS Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,120,,seamless,plain end,,,black drl,0.95
27168,6 Black PE A106B Schedule 40 Double Random Length FBE Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,DRL,FBE,PE,,BLACK,0.9
27169,6 Black PE A106B X42 Extra Heavy SMLS Double Random Length Pipe,pipe,pipe,6,,42,carbon steel,A106,B,,XH,,seamless,plain ends,,,black drl,0.95
27170,6 Black PE A53A Schedule 40 Pipe Double Random Length,pipe,pipe,6,,,carbon steel,A53A,,,40,,,plain end,,,DRL,0.85
27171,6 Black Plain End A106B Extra Extra Heavy Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,XXH,,seamless,plain end,,,drl,0.95
27172,6 Black Plain End A106B Extra Extra Heavy Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,XXH,,seamless,plain end,,,SRL,0.95
27173,6 Black Plain End A106B Extra Extra Heavy Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,XXH,,seamless,plain end,,,SRL,0.95
27174,6 Black Plain End A106B Extra Extra Heavy Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,XXH,,SEAMLESS,PLAIN END,,,BLACK SRL,0.9
27175,6 Black Plain End A106B S120 Pipe LRES,pipe,pipe,6,,,carbon steel,A106,B,,120,,,plain end,,,low residual,0.9
27176,6 Black Plain End A106B S120 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,120,,seamless,plain end,,,drl,0.95
27177,6 Black Plain End A106B S120 Seamless Pipe SRL,pipe,pipe,6,,,carbon steel,A106,B,,120,,seamless,plain end,,,black SRL,0.95
27178,6 Black Plain End A106B S120 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,120,,seamless,plain end,,,black srl,0.95
27179,6 Black Plain End A106B S160 Pipe LRES,pipe,pipe,6,,,carbon steel,A106,B,,160,,,plain end,,,low residual,0.9
27180,6 Black Plain End A106B S160 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,160,,seamless,plain end,,,drl,0.95
27181,6 Black Plain End A106B S160 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,160,,seamless,plain end,,,drl,0.95
27182,6 Black Plain End A106B S160 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,160,,seamless,plain end,,,black srl,0.95
27183,6 Black Plain End A106B S160 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,160,,seamless,plain end,,,SRL,0.95
27184,6 Black Plain End A106B Schedule 40 Pipe LRES,pipe,pipe,6,,,carbon steel,A106,B,,40,,,plain end,,,low residual,0.9
27185,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27186,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL black,0.95
27187,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL,0.95
27188,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL,0.9
27189,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27190,6 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27191,6 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black,0.95
27192,6 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black,0.95
27193,6 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,plain end,,,black,0.95
27194,6 Black Plain End A106B Schedule 80 Pipe LRES,pipe,pipe,6,,,carbon steel,A106,B,,80,,,plain end,,,low residual,0.9
27195,6 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,drl,0.95
27196,6 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,PE,,black drl,0.95
27197,6 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,DRL,0.95
27198,6 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,drl,0.95
27199,6 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,blacksrl,0.95
27200,6 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,black,0.95
27201,6 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,black srl,0.95
27202,6 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,80,,seamless,plain end,,,SRL,0.95
27203,6 Black Plain End A53B Schedule 10 ERW Pipe,pipe,pipe,6,,,carbon steel,A53,B,,10,,ERW,PE,PE X PE,,black,0.95
27204,6 Black Plain End A53B Schedule 40 ERW Double Random Length FBE Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,DRL FBE,0.9
27205,6 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27206,6 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27207,6 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27208,6 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,PE,,,BLACK,0.95
27209,6 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,black SRL,0.95
27210,6 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,plain end,,,SRL black,0.95
27211,6 Black Plain End A53B Schedule 80 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,A53,B,,80,,ERW,plain end,,,black,0.95
27212,6 Black Plain End A53B Schedule 80 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,80,,ERW,plain end,,,black SRL,0.95
27213,6 Black Plain End A53B Schedule 80 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,80,,ERW,PE,,,black plain end srl,0.95
27214,6 Black Plain End API5LB Schedule 40 FBE ERW Double Random Length,pipe,pipe,6,,,carbon steel,API5L,B,,40,,ERW,FBE,PE,,DRL,0.9
27215,6 Black Plain End API5LB Standard ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,API5L,B,,STD,,ERW,plain end,,,black,0.9
27216,6 Black Plain End API5LX42 Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,API5L,X42,,40,,ERW,plain end,,,black,0.95
27217,6 Black Plain End API5LX52 Schedule 40 ERW Double Random Length Pipe,pipe,pipe,6,,,carbon steel,API5L,X52,,40,,ERW,plain end,,,DRL,0.9
27218,6 Black Plain End API5LX52 Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,API5L,X52,,40,,ERW,plain end,,,black,0.95
27219,6 Black Roll Groove A53B Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,roll groove,,,black,0.95
27220,6 BLK PE A106B S40 DRL PIPE LRES,pipe,pipe,6,,,carbon steel,A106,B,,40,,DRL,plain ends,,,low residual,0.95
27221,6 BLK PE A106B S80 DRL PIPE LRES,pipe,pipe,6,,,carbon steel,A106,B,,80,,DRL,plain ends,,,low residual,0.9
27222,6 Galvanized PE A106B Schedule 40 SMLS SRL Pipe,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,galvanized,plain end,,srl,0.95
27223,6 Galvanized Roll Groove A53B Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,galvanized,roll groove,,SRL,0.95
27224,6 Galvanized Threaded & Coupled A53B Schedule 40 ERW SRL Pipe,pipe,pipe,6,,,carbon steel,A53,B,,40,,ERW,galvanized,THD,,SRL,0.95
27225,6 PRIMED A106B S40 SMLS SRL PIPE,pipe,pipe,6,,,carbon steel,A106,B,,40,,seamless,primed,,,srl,0.95
27226,6 X 21 Black Plain End A135 Schedule 10 Pipe,pipe,pipe,6,,21,carbon steel,A135,,,10,,,plain end,,,black,0.95
27227,6X20 FT CS ATL PTFE PE PIPE,pipe,pipe,6,,20,carbon steel,,,,,,,plain ends,,,ptfe,0.7
27228,8 A106B Schedule 40 FBE Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,DRL,FBE,,,,0.9
27229,8 Black A333 GR6 S160 Seamless Pipe,pipe,pipe,8,,,carbon steel,A333,6,,160,,seamless,,,,black,0.9
27230,8 Black A333 GR6 Schedule 40 Seamless Pipe,pipe,pipe,8,,,carbon steel,A333,6,,40,,seamless,,,,black,0.9
27231,8 Black A333 GR6 Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A333,6,,40,,seamless,,,,black srl,0.9
27232,8 Black A333 GR6 Schedule 80 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A333,6,,80,,seamless,,,,black srl,0.95
27233,8 Black Plain End A106B Extra Extra Heavy Seamless Pipe SRL,pipe,pipe,8,,,carbon steel,A106,B,,XXH,,seamless,plain end,,,SRL,0.95
27234,8 Black Plain End A106B S100 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,100,,seamless,plain end,PE,,black,0.95
27235,8 Black Plain End A106B S120 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,120,,seamless,plain end,,,drl,0.9
27236,8 Black Plain End A106B S120 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,120,,seamless,plain end,,,black srl,0.95
27237,8 Black Plain End A106B S140 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,140,,seamless,plain end,,,DRL,0.95
27238,8 Black Plain End A106B S160 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,160,,seamless,plain end,,,DRL,0.95
27239,8 Black Plain End A106B S160 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,160,,seamless,plain end,,,drl,0.95
27240,8 Black Plain End A106B S160 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,160,,seamless,plain end,,,SRL,0.95
27241,8 Black Plain End A106B S160 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,160,,seamless,plain end,,,SRL,0.95
27242,8 Black Plain End A106B S40 Pipe LRES,pipe,pipe,8,,,carbon steel,A106,B,,40,,,plain end,pe,,low residual,0.9
27243,8 Black Plain End A106B S60 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,60,,seamless,plain end,,,black drl,0.95
27244,8 Black Plain End A106B S80 Pipe LRES,pipe,pipe,8,,,carbon steel,A106,B,,80,,,plain end,,,low residual,0.9
27245,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,drl,,black,0.95
27246,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,drl,0.95
27247,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,black drl,0.95
27248,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL,0.95
27249,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL,0.95
27250,8 Black Plain End A106B Schedule 40 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,DRL,0.95
27251,8 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,black,0.95
27252,8 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,SRL,0.95
27253,8 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,SRL,0.95
27254,8 Black Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,plain end,,,black,0.95
27255,8 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,drl,0.95
27256,8 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,DRL,0.95
27257,8 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,black drl,0.95
27258,8 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,black drl,0.95
27259,8 Black Plain End A106B Schedule 80 Seamless Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,DRL,0.95
27260,8 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,black,0.95
27261,8 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,SRL,0.95
27262,8 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,black,0.95
27263,8 Black Plain End A106B Schedule 80 Seamless SRL Pipe,pipe,pipe,8,,,carbon steel,A106,B,,80,,seamless,plain end,,,SRL,0.95
27264,8 Black Plain End A53B Extra Heavy ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,XH,,ERW,plain end,,,black DRL,0.95
27265,8 Black Plain End A53B S20 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,20,,ERW,plain end,,,black,0.95
27266,8 Black Plain End A53B S20 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,20,,ERW,PE,,,BLACK PLAIN END SRL,0.9
27267,8 Black Plain End A53B Schedule 40 BARE Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,,plain end,,,black bare drl,0.9
27268,8 Black Plain End A53B Schedule 40 ERW Double Random Length FBE Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,plain end,,,DRL FBE,0.9
27269,8 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27270,8 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27271,8 Black Plain End A53B Schedule 40 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,plain end,,,black,0.95
27272,8 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,PE,,,BLACK,0.95
27273,8 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,PE,,,black,0.95
27274,8 Black Plain End A53B Schedule 40 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,40,,ERW,PE,,,BLACK PLAIN END SRL,0.95
27275,8 Black Plain End A53B Schedule 80 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,A53,B,,80,,ERW,plain end,,,black,0.95
27276,8 Black Plain End A53B Schedule 80 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,80,,ERW,plain end,,,SRL,0.95
27277,8 Black Plain End A53B Schedule 80 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,A53,B,,80,,ERW,PE,,,BLACK,0.95
27278,8 Black Plain End API5LB Standard ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,API5L,B,,STD,,ERW,PE,,,BLACK,0.9
27279,8 Black Plain End API5LX52 Schedule 40 ERW Double Random Length Pipe,pipe,pipe,8,,,carbon steel,API5L,X52,,40,,ERW,plain end,,,black,0.95
27280,8 Black Plain End API5LX52 Schedule 40 ERW SRL Pipe,pipe,pipe,8,,,carbon steel,API5L,X52,,40,,ERW,plain end,,,black,0.95
27281,8 BLK PE A106B S20 SMLS DRL PIPE,pipe,pipe,8,,,carbon steel,A106,B,,20,,seamless,plain end,,,black,0.95
27282,8 BLK PE A106B S40 DRL PIPE LRES,pipe,pipe,8,,,carbon steel,A106,B,,40,,DRL,plain end,,,low residual,0.9
27283,8 BLK PE A106B S80 DRL PIPE LRES,pipe,pipe,8,,,carbon steel,A106,B,,80,,,plain ends,,,low residual DRL,0.9
27284,8 Galvanized Plain End A106B Schedule 40 Seamless SRL Pipe,pipe,pipe,8,,21,carbon steel,A106,B,,40,,seamless,galvanized,plain end,,srl,0.95
27285,8 PRIMED A106B S40 SMLS SRL PIPE,pipe,pipe,8,,,carbon steel,A106,B,,40,,seamless,,,,primed srl,0.9
27286,8 STD WT ERW FBE CTD PIPE,pipe,pipe,8,,,carbon steel,API5L,,,40,,,BE,BW,,FBE COATED SRL,0.85
27287,8X20 FT CS ATL PTFE PE PIPE,pipe,pipe,8,,20,carbon steel,,,,,,,plain ends,,,ptfe,0.7
27288,8X21 Black RG A135 .188 Pipe,pipe,pipe,8,,21,carbon steel,A135,,,0.188W,,,,,,black,0.9
27289,1 Black A333 GR6 Schedule 40 Seamless Pipe,pipe,pipe,1,,,carbon steel,A333,6,,40,,seamless,,,,black,0.9
27290,1/2 Black A333 GR6 S160 Seamless Pipe,pipe,pipe,1/2,,,carbon steel,A333,6,,160,,seamless,,,,black,0.9
27291,1/2 Black A333 GR6 Schedule 40 Seamless SRL Pipe,pipe,pipe,1/2,,,carbon steel,A333,6,,40,,seamless,,,,blacksrl,0.9
27292,1-1/2 BLACK A333 GR6 SCHEDULE 80 SRL PIPE,pipe,pipe,1 1/2,,,carbon steel,A333,6,,80,,SRL,,,,BLACK,0.9
27293,16 BLACK A333 GR6 SCHEDULE 40 SEAMLESS DRL PIPE,pipe,pipe,16,,,carbon steel,A333,6,,40,,seamless,drl,,,black,0.95
27294,20 BLK BE A106B XH SMLS SRL PIPE,pipe,pipe,20,,,carbon steel,A106,B,,XH,,SMLS,BE,BE,,BLK SRL,0.95
27295,3 Black A333 GR6 Extra Heavy Seamless Pipe,pipe,pipe,3,,,carbon steel,A333,6,,XH,,SMLS,,,,black,0.9
27296,4 Black A333 GR6 Schedule 80 Seamless Pipe,pipe,pipe,4,,,carbon steel,A333,6,,80,,seamless,,,,black,0.9
27297,1-1/2 Black Carbon Steel Double Bolt Pipe Clamp,fastener,PIPE CLAMP,1 1/2,,,CARBON STEEL,,,,,,,BLACK,,,DOUBLE BOLT,0.9
27298,1-1/2 Black Carbon Steel Medium Pipe Clamp,fitting,PIPE CLAMP,1 1/2,,,CARBON STEEL,,,,,,,BLACK,,,MEDIUM,0.85
27299,12 Galvanized Carbon Steel Double Bolt Pipe Clamp,fastener,PIPE CLAMP,12,,,CARBON STEEL,,,,,,GALVANIZED,,,,DOUBLE BOLT,0.85
27300,18 Black Carbon Steel Medium Pipe Clamp,fitting,PIPE CLAMP,18,,,CARBON STEEL,,,,,,,,,,BLACK MEDIUM,0.8
27301,20 Galvanized Carbon Steel Medium Pipe Clamp,fitting,PIPE CLAMP,20,,,CARBON STEEL,,,,,,,GALVANIZED,,,MEDIUM,0.8
27302,8 Black Carbon Steel Medium Pipe Clamp,fastener,PIPE CLAMP,8,,,CARBON STEEL,,,,,,,BLACK,,,MEDIUM,0.8
27303,1/2 Black Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,1/2,,,carbon steel,,,,,,,black,,,medium,0.85
27304,10 Black Carbon Steel Heavy Pipe Clamp,fastener,pipe_clamp,10,,,CARBON STEEL,,,,HEAVY,,,BLACK,,,,0.8
27305,10 Black Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,10,,,CARBON STEEL,,,,,,,BLACK,,,MEDIUM,0.8
27306,10 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,10,,,carbon steel,,,,medium,,galvanized,,,,,0.8
27307,1-1/2 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,1 1/2,,,carbon steel,,,,medium,,galvanized,,,,,0.8
27308,1-1/4 BLK CS DBL BLT PIPE CLMP,fastener,pipe_clamp,1 1/4,,,carbon steel,,,,,,,black,,,double bolt,0.85
27309,12 Black Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,12,,,carbon steel,,,,,,,black,,,medium,0.85
27310,12 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,12,,,carbon steel,,,,medium,,galvanized,,,,,0.85
27311,14 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,14,,,carbon steel,,,,medium,,galvanized,,,,,0.85
27312,16 Black Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,16,,,carbon steel,,,,,,,black,,,medium,0.85
27313,16 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,16,,,carbon steel,,,,,,galvanized,,,,medium,0.85
27314,18 BLK CS DBL BLT PIPE CLMP,fastener,pipe_clamp,18,,,carbon steel,,,,,,,black,,,double bolt,0.85
27315,18 GALV CS MED PIPE CLMP,fastener,pipe_clamp,18,,,carbon steel,,,,,,galvanized,,,,medium,0.8
27316,2 Black Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,2,,,carbon steel,,,,,,,black,,,medium,0.85
27317,2 Galvanized Carbon Steel Medium Pipe Clamp,fastener,pipe_clamp,2,,,carbon steel,,,,,,galvanized,,,,medium,0.85
